id,expname,subject,ip,condnum,choice,submitted,event,name,value,time,mlchoice
390,ChoiceCC_o4,29; PHPSESSID=9480100f67dff68183e973a4941e62df,47.42.138.78,-1,OptionA-Journey,9/17/2018 15:08,onload,body,body,93,OptionA-Journey
390,ChoiceCC_o4,29; PHPSESSID=9480100f67dff68183e973a4941e62df,47.42.138.78,-1,OptionA-Journey,9/17/2018 15:08,subject,random,1,103,OptionA-Journey
390,ChoiceCC_o4,29; PHPSESSID=9480100f67dff68183e973a4941e62df,47.42.138.78,-1,OptionA-Journey,9/17/2018 15:08,order,col,0_1_2_4_3,103,OptionA-Journey
390,ChoiceCC_o4,29; PHPSESSID=9480100f67dff68183e973a4941e62df,47.42.138.78,-1,OptionA-Journey,9/17/2018 15:08,order,row,0_1_2_3_4_5,103,OptionA-Journey
390,ChoiceCC_o4,29; PHPSESSID=9480100f67dff68183e973a4941e62df,47.42.138.78,-1,OptionA-Journey,9/17/2018 15:08,events,open_close,0_0,103,OptionA-Journey
390,ChoiceCC_o4,29; PHPSESSID=9480100f67dff68183e973a4941e62df,47.42.138.78,-1,OptionA-Journey,9/17/2018 15:08,mouseover,iPeriod 1,6 months,2514,OptionA-Journey
390,ChoiceCC_o4,29; PHPSESSID=9480100f67dff68183e973a4941e62df,47.42.138.78,-1,OptionA-Journey,9/17/2018 15:08,mouseout,iPeriod 1,,2563,OptionA-Journey
390,ChoiceCC_o4,29; PHPSESSID=9480100f67dff68183e973a4941e62df,47.42.138.78,-1,OptionA-Journey,9/17/2018 15:08,mouseover,iAPR 1,5%,2580,OptionA-Journey
390,ChoiceCC_o4,29; PHPSESSID=9480100f67dff68183e973a4941e62df,47.42.138.78,-1,OptionA-Journey,9/17/2018 15:08,mouseout,iAPR 1,,2613,OptionA-Journey
390,ChoiceCC_o4,29; PHPSESSID=9480100f67dff68183e973a4941e62df,47.42.138.78,-1,OptionA-Journey,9/17/2018 15:08,mouseover,iAPR 1,5%,4063,OptionA-Journey
390,ChoiceCC_o4,29; PHPSESSID=9480100f67dff68183e973a4941e62df,47.42.138.78,-1,OptionA-Journey,9/17/2018 15:08,mouseout,iAPR 1,,4397,OptionA-Journey
390,ChoiceCC_o4,29; PHPSESSID=9480100f67dff68183e973a4941e62df,47.42.138.78,-1,OptionA-Journey,9/17/2018 15:08,mouseover,iAPR 1,5%,4690,OptionA-Journey
390,ChoiceCC_o4,29; PHPSESSID=9480100f67dff68183e973a4941e62df,47.42.138.78,-1,OptionA-Journey,9/17/2018 15:08,mouseout,iAPR 1,,4946,OptionA-Journey
390,ChoiceCC_o4,29; PHPSESSID=9480100f67dff68183e973a4941e62df,47.42.138.78,-1,OptionA-Journey,9/17/2018 15:08,mouseover,iAPR 2,0%,4946,OptionA-Journey
390,ChoiceCC_o4,29; PHPSESSID=9480100f67dff68183e973a4941e62df,47.42.138.78,-1,OptionA-Journey,9/17/2018 15:08,mouseout,iAPR 2,,5297,OptionA-Journey
390,ChoiceCC_o4,29; PHPSESSID=9480100f67dff68183e973a4941e62df,47.42.138.78,-1,OptionA-Journey,9/17/2018 15:08,mouseover,iAPR 4,N/A (no introductory interest rate),5297,OptionA-Journey
390,ChoiceCC_o4,29; PHPSESSID=9480100f67dff68183e973a4941e62df,47.42.138.78,-1,OptionA-Journey,9/17/2018 15:08,mouseout,iAPR 4,,5646,OptionA-Journey
390,ChoiceCC_o4,29; PHPSESSID=9480100f67dff68183e973a4941e62df,47.42.138.78,-1,OptionA-Journey,9/17/2018 15:08,mouseover,iAPR 3,0%,5662,OptionA-Journey
390,ChoiceCC_o4,29; PHPSESSID=9480100f67dff68183e973a4941e62df,47.42.138.78,-1,OptionA-Journey,9/17/2018 15:08,mouseout,iAPR 3,,6213,OptionA-Journey
390,ChoiceCC_o4,29; PHPSESSID=9480100f67dff68183e973a4941e62df,47.42.138.78,-1,OptionA-Journey,9/17/2018 15:08,mouseover,iAPR 4,N/A (no introductory interest rate),6228,OptionA-Journey
390,ChoiceCC_o4,29; PHPSESSID=9480100f67dff68183e973a4941e62df,47.42.138.78,-1,OptionA-Journey,9/17/2018 15:08,mouseout,iAPR 4,,6763,OptionA-Journey
390,ChoiceCC_o4,29; PHPSESSID=9480100f67dff68183e973a4941e62df,47.42.138.78,-1,OptionA-Journey,9/17/2018 15:08,mouseover,iAPR 2,0%,6779,OptionA-Journey
390,ChoiceCC_o4,29; PHPSESSID=9480100f67dff68183e973a4941e62df,47.42.138.78,-1,OptionA-Journey,9/17/2018 15:08,mouseout,iAPR 2,,7262,OptionA-Journey
390,ChoiceCC_o4,29; PHPSESSID=9480100f67dff68183e973a4941e62df,47.42.138.78,-1,OptionA-Journey,9/17/2018 15:08,mouseover,iAPR 1,5%,7280,OptionA-Journey
390,ChoiceCC_o4,29; PHPSESSID=9480100f67dff68183e973a4941e62df,47.42.138.78,-1,OptionA-Journey,9/17/2018 15:08,mouseout,iAPR 1,,7846,OptionA-Journey
390,ChoiceCC_o4,29; PHPSESSID=9480100f67dff68183e973a4941e62df,47.42.138.78,-1,OptionA-Journey,9/17/2018 15:08,mouseover,iPeriod 1,6 months,7846,OptionA-Journey
390,ChoiceCC_o4,29; PHPSESSID=9480100f67dff68183e973a4941e62df,47.42.138.78,-1,OptionA-Journey,9/17/2018 15:08,mouseout,iPeriod 1,,8297,OptionA-Journey
390,ChoiceCC_o4,29; PHPSESSID=9480100f67dff68183e973a4941e62df,47.42.138.78,-1,OptionA-Journey,9/17/2018 15:08,mouseover,iPeriod 1,6 months,8378,OptionA-Journey
390,ChoiceCC_o4,29; PHPSESSID=9480100f67dff68183e973a4941e62df,47.42.138.78,-1,OptionA-Journey,9/17/2018 15:08,mouseout,iPeriod 1,,8463,OptionA-Journey
390,ChoiceCC_o4,29; PHPSESSID=9480100f67dff68183e973a4941e62df,47.42.138.78,-1,OptionA-Journey,9/17/2018 15:08,mouseover,iAPR 1,5%,8463,OptionA-Journey
390,ChoiceCC_o4,29; PHPSESSID=9480100f67dff68183e973a4941e62df,47.42.138.78,-1,OptionA-Journey,9/17/2018 15:08,mouseout,iAPR 1,,8646,OptionA-Journey
390,ChoiceCC_o4,29; PHPSESSID=9480100f67dff68183e973a4941e62df,47.42.138.78,-1,OptionA-Journey,9/17/2018 15:08,mouseover,iPeriod 1,6 months,8646,OptionA-Journey
390,ChoiceCC_o4,29; PHPSESSID=9480100f67dff68183e973a4941e62df,47.42.138.78,-1,OptionA-Journey,9/17/2018 15:08,mouseout,iPeriod 1,,8666,OptionA-Journey
