id,expname,subject,ip,condnum,choice,submitted,event,name,value,time,mlchoice
403,ChoiceCC_trial2,30; PHPSESSID=3fd5ae3dedc6cdf4ee6324d9aea74973,104.131.176.234,-1,OptionB-Polaris,9/17/2018 15:26,onload,body,body,1076,OptionB-Polaris
403,ChoiceCC_trial2,30; PHPSESSID=3fd5ae3dedc6cdf4ee6324d9aea74973,104.131.176.234,-1,OptionB-Polaris,9/17/2018 15:26,subject,random,23,1171,OptionB-Polaris
403,ChoiceCC_trial2,30; PHPSESSID=3fd5ae3dedc6cdf4ee6324d9aea74973,104.131.176.234,-1,OptionB-Polaris,9/17/2018 15:26,order,col,0_4_3_2_1,1171,OptionB-Polaris
403,ChoiceCC_trial2,30; PHPSESSID=3fd5ae3dedc6cdf4ee6324d9aea74973,104.131.176.234,-1,OptionB-Polaris,9/17/2018 15:26,order,row,0_1_2_3_4_5,1171,OptionB-Polaris
403,ChoiceCC_trial2,30; PHPSESSID=3fd5ae3dedc6cdf4ee6324d9aea74973,104.131.176.234,-1,OptionB-Polaris,9/17/2018 15:26,events,open_close,0_0,1171,OptionB-Polaris
403,ChoiceCC_trial2,30; PHPSESSID=3fd5ae3dedc6cdf4ee6324d9aea74973,104.131.176.234,-1,OptionB-Polaris,9/17/2018 15:26,mouseover,iAPR 4,0%,1450,OptionB-Polaris
403,ChoiceCC_trial2,30; PHPSESSID=3fd5ae3dedc6cdf4ee6324d9aea74973,104.131.176.234,-1,OptionB-Polaris,9/17/2018 15:26,mouseout,iAPR 4,,1723,OptionB-Polaris
403,ChoiceCC_trial2,30; PHPSESSID=3fd5ae3dedc6cdf4ee6324d9aea74973,104.131.176.234,-1,OptionB-Polaris,9/17/2018 15:26,mouseover,iAPR 2,5%,22755,OptionB-Polaris
403,ChoiceCC_trial2,30; PHPSESSID=3fd5ae3dedc6cdf4ee6324d9aea74973,104.131.176.234,-1,OptionB-Polaris,9/17/2018 15:26,mouseout,iAPR 2,,23165,OptionB-Polaris
403,ChoiceCC_trial2,30; PHPSESSID=3fd5ae3dedc6cdf4ee6324d9aea74973,104.131.176.234,-1,OptionB-Polaris,9/17/2018 15:26,mouseover,iPeriod 2,6 months,23166,OptionB-Polaris
403,ChoiceCC_trial2,30; PHPSESSID=3fd5ae3dedc6cdf4ee6324d9aea74973,104.131.176.234,-1,OptionB-Polaris,9/17/2018 15:26,mouseout,iPeriod 2,,23601,OptionB-Polaris
403,ChoiceCC_trial2,30; PHPSESSID=3fd5ae3dedc6cdf4ee6324d9aea74973,104.131.176.234,-1,OptionB-Polaris,9/17/2018 15:26,mouseover,2-Apr,9.99%,23602,OptionB-Polaris
403,ChoiceCC_trial2,30; PHPSESSID=3fd5ae3dedc6cdf4ee6324d9aea74973,104.131.176.234,-1,OptionB-Polaris,9/17/2018 15:26,mouseout,2-Apr,,23847,OptionB-Polaris
403,ChoiceCC_trial2,30; PHPSESSID=3fd5ae3dedc6cdf4ee6324d9aea74973,104.131.176.234,-1,OptionB-Polaris,9/17/2018 15:26,mouseover,3-Apr,10.22%,23848,OptionB-Polaris
403,ChoiceCC_trial2,30; PHPSESSID=3fd5ae3dedc6cdf4ee6324d9aea74973,104.131.176.234,-1,OptionB-Polaris,9/17/2018 15:26,mouseout,3-Apr,,23972,OptionB-Polaris
403,ChoiceCC_trial2,30; PHPSESSID=3fd5ae3dedc6cdf4ee6324d9aea74973,104.131.176.234,-1,OptionB-Polaris,9/17/2018 15:26,mouseover,4-Apr,14.00%,23975,OptionB-Polaris
403,ChoiceCC_trial2,30; PHPSESSID=3fd5ae3dedc6cdf4ee6324d9aea74973,104.131.176.234,-1,OptionB-Polaris,9/17/2018 15:26,mouseout,4-Apr,,24133,OptionB-Polaris
403,ChoiceCC_trial2,30; PHPSESSID=3fd5ae3dedc6cdf4ee6324d9aea74973,104.131.176.234,-1,OptionB-Polaris,9/17/2018 15:26,mouseover,iPeriod4,2 months,24392,OptionB-Polaris
403,ChoiceCC_trial2,30; PHPSESSID=3fd5ae3dedc6cdf4ee6324d9aea74973,104.131.176.234,-1,OptionB-Polaris,9/17/2018 15:26,mouseout,iPeriod4,,24499,OptionB-Polaris
403,ChoiceCC_trial2,30; PHPSESSID=3fd5ae3dedc6cdf4ee6324d9aea74973,104.131.176.234,-1,OptionB-Polaris,9/17/2018 15:26,mouseover,iPeriod 3,12 months,24499,OptionB-Polaris
403,ChoiceCC_trial2,30; PHPSESSID=3fd5ae3dedc6cdf4ee6324d9aea74973,104.131.176.234,-1,OptionB-Polaris,9/17/2018 15:26,mouseout,iPeriod 3,,24613,OptionB-Polaris
403,ChoiceCC_trial2,30; PHPSESSID=3fd5ae3dedc6cdf4ee6324d9aea74973,104.131.176.234,-1,OptionB-Polaris,9/17/2018 15:26,mouseover,3-Apr,10.22%,24614,OptionB-Polaris
403,ChoiceCC_trial2,30; PHPSESSID=3fd5ae3dedc6cdf4ee6324d9aea74973,104.131.176.234,-1,OptionB-Polaris,9/17/2018 15:26,mouseout,3-Apr,,24729,OptionB-Polaris
403,ChoiceCC_trial2,30; PHPSESSID=3fd5ae3dedc6cdf4ee6324d9aea74973,104.131.176.234,-1,OptionB-Polaris,9/17/2018 15:26,mouseover,AnnualFee 3,$95 ,24730,OptionB-Polaris
403,ChoiceCC_trial2,30; PHPSESSID=3fd5ae3dedc6cdf4ee6324d9aea74973,104.131.176.234,-1,OptionB-Polaris,9/17/2018 15:26,mouseout,AnnualFee 3,,25228,OptionB-Polaris
403,ChoiceCC_trial2,30; PHPSESSID=3fd5ae3dedc6cdf4ee6324d9aea74973,104.131.176.234,-1,OptionB-Polaris,9/17/2018 15:26,mouseover,3-Apr,10.22%,25302,OptionB-Polaris
403,ChoiceCC_trial2,30; PHPSESSID=3fd5ae3dedc6cdf4ee6324d9aea74973,104.131.176.234,-1,OptionB-Polaris,9/17/2018 15:26,mouseout,3-Apr,,25864,OptionB-Polaris
403,ChoiceCC_trial2,30; PHPSESSID=3fd5ae3dedc6cdf4ee6324d9aea74973,104.131.176.234,-1,OptionB-Polaris,9/17/2018 15:26,mouseover,AnnualFee 3,$95 ,25981,OptionB-Polaris
403,ChoiceCC_trial2,30; PHPSESSID=3fd5ae3dedc6cdf4ee6324d9aea74973,104.131.176.234,-1,OptionB-Polaris,9/17/2018 15:26,mouseout,AnnualFee 3,,26296,OptionB-Polaris
403,ChoiceCC_trial2,30; PHPSESSID=3fd5ae3dedc6cdf4ee6324d9aea74973,104.131.176.234,-1,OptionB-Polaris,9/17/2018 15:26,mouseover,AnnualFee 2,$95 ,26391,OptionB-Polaris
403,ChoiceCC_trial2,30; PHPSESSID=3fd5ae3dedc6cdf4ee6324d9aea74973,104.131.176.234,-1,OptionB-Polaris,9/17/2018 15:26,mouseout,AnnualFee 2,,26662,OptionB-Polaris
403,ChoiceCC_trial2,30; PHPSESSID=3fd5ae3dedc6cdf4ee6324d9aea74973,104.131.176.234,-1,OptionB-Polaris,9/17/2018 15:26,mouseover,AnnualFee 1,$95 ,26662,OptionB-Polaris
403,ChoiceCC_trial2,30; PHPSESSID=3fd5ae3dedc6cdf4ee6324d9aea74973,104.131.176.234,-1,OptionB-Polaris,9/17/2018 15:26,mouseout,AnnualFee 1,,26998,OptionB-Polaris
403,ChoiceCC_trial2,30; PHPSESSID=3fd5ae3dedc6cdf4ee6324d9aea74973,104.131.176.234,-1,OptionB-Polaris,9/17/2018 15:26,mouseover,AnnualFee 2,$95 ,26999,OptionB-Polaris
403,ChoiceCC_trial2,30; PHPSESSID=3fd5ae3dedc6cdf4ee6324d9aea74973,104.131.176.234,-1,OptionB-Polaris,9/17/2018 15:26,mouseout,AnnualFee 2,,27211,OptionB-Polaris
403,ChoiceCC_trial2,30; PHPSESSID=3fd5ae3dedc6cdf4ee6324d9aea74973,104.131.176.234,-1,OptionB-Polaris,9/17/2018 15:26,mouseover,AnnualFee 3,$95 ,27289,OptionB-Polaris
403,ChoiceCC_trial2,30; PHPSESSID=3fd5ae3dedc6cdf4ee6324d9aea74973,104.131.176.234,-1,OptionB-Polaris,9/17/2018 15:26,mouseout,AnnualFee 3,,27562,OptionB-Polaris
403,ChoiceCC_trial2,30; PHPSESSID=3fd5ae3dedc6cdf4ee6324d9aea74973,104.131.176.234,-1,OptionB-Polaris,9/17/2018 15:26,mouseover,AnnualFee 4,$0 ,27686,OptionB-Polaris
