deepitem,qid,choice,answer,dectime,shrunkenbeta,shrunkendelta,numb,ipaddress,,,roughorder,nomath,byhand,head,calculator,spreadsheet,otherapp,Q81_1,Q81_2,Q81_3,Q81_4,Q81_5,Q81_6,Q81_7,Q81_8,Q90_2,Q90_3,Q90_4,Q90_5,Q90_6,Q90_7,Q90_8,Q90_1,Q126_1,Q126_2,satisfaction,confidence,effort,percentconf1,percentconf2,imp_namelook,imp_intro,imp_period,imp_stdint,imp_annual,Q113,Q115,Q117,Q98,Q100,Q102,Q104,Q106,Q108,Q110,Q112,Q114,Q116,Q118,Q120,Q154,Q129,Q131,Q135,Q137,Q139_3,Q141_1,Q145,Q147,Q149,Q151,unusual,unusualtext,Q179,Q177,Q169,Q173,LocationLatitude,LocationLongitude,starttime,endtime,beta,dailyrate,annualfactor,new_beta,r02,new_annualfactor
1,0,1,2,2.656,1.058589,0,1,58.69.179.158,58.69.179.158,"[{},{""id"":0,""beta"":0.8,""discountRate"":0.008,""choice"":1,""answer"":2,""responseTime"":2.656},{""id"":524288,""beta"":1.058589,""discountRate"":0,""choice"":0,""answer"":1,""responseTime"":2.138},{""id"":524289,""beta"":0.8798351,""discountRate"":0.002765065,""choice"":1,""answer"":2,""responseTime"":1.834},{""id"":655361,""beta"":1.42172,""discountRate"":0.008094475,""choice"":1,""answer"":2,""responseTime"":1.567},{""id"":720897,""beta"":1.054489,""discountRate"":0.0028856420000000003,""choice"":0,""answer"":1,""responseTime"":2.026},{""id"":720898,""beta"":0.9542596000000001,""discountRate"":0.0027734829999999998,""choice"":1,""answer"":2,""responseTime"":2.171},{""id"":737282,""beta"":0.9499832,""discountRate"":0.002062593,""choice"":1,""answer"":2,""responseTime"":2.628},{""id"":745474,""beta"":0.9890051,""discountRate"":0.002527052,""choice"":0,""answer"":1,""responseTime"":2.698},{""id"":745475,""beta"":0.9934161,""discountRate"":0.003473677,""choice"":1,""answer"":2,""responseTime"":2.325},{""id"":747523,""beta"":1.02146,""discountRate"":0.0037045990000000003,""choice"":1,""answer"":2,""responseTime"":2.067},{""id"":748547,""beta"":1.04018,""discountRate"":0.0038568689999999997,""choice"":1,""answer"":2,""responseTime"":1.505},{""id"":749059,""beta"":1.054044,""discountRate"":0.003968287,""choice"":0,""answer"":1,""responseTime"":1.472},{""id"":749060,""beta"":1.056752,""discountRate"":0.004782003}]",1,1,0,0,0,0,0,5,6,5,5,5,5,6,5,6,5,5,5,5,6,5,5,12,10,4,4,3,2,3,100,0,0,0,0,500,10,0.1,6,4,6,7,5,1,6,6,5,1,10,10,7,1,2,,,,,5,3,4,1,2,NA,2,1,2,20,14.580002,121.11691,43600.32073,43600.323,0.988270822,0.004474814,0.210879134,1.001489457,0.004149751,0.230098501
1,0,1,2,7.798,1.058589,0,13,71.233.41.37,71.233.41.37,"[{},{""id"":0,""beta"":0.8,""discountRate"":0.008,""choice"":1,""answer"":2,""responseTime"":7.798},{""id"":524288,""beta"":1.058589,""discountRate"":0,""choice"":0,""answer"":1,""responseTime"":3.377},{""id"":524289,""beta"":0.8798351,""discountRate"":0.002765065,""choice"":0,""answer"":1,""responseTime"":3.289},{""id"":524290,""beta"":0.6133917,""discountRate"":0,""choice"":0,""answer"":1,""responseTime"":3.599},{""id"":524291,""beta"":0.48805699999999996,""discountRate"":0.000002703294,""choice"":1,""answer"":2,""responseTime"":3.809},{""id"":557059,""beta"":0.6843046,""discountRate"":0.003721673,""choice"":0,""answer"":1,""responseTime"":4.055},{""id"":557060,""beta"":0.7821074,""discountRate"":0.007369557,""choice"":0,""answer"":1,""responseTime"":2.907},{""id"":557061,""beta"":0.7311167,""discountRate"":0.006975008,""choice"":1,""answer"":2,""responseTime"":3.042},{""id"":561157,""beta"":0.7422119,""discountRate"":0.005751106,""choice"":0,""answer"":1,""responseTime"":2.767},{""id"":561158,""beta"":0.7148572,""discountRate"":0.005459906,""choice"":0,""answer"":1,""responseTime"":6.058},{""id"":561159,""beta"":0.7068753999999999,""discountRate"":0.006615423,""choice"":0,""answer"":1,""responseTime"":4.025},{""id"":561160,""beta"":0.6658353,""discountRate"":0.0064291570000000004,""choice"":1,""answer"":2,""responseTime"":5.582},{""id"":561416,""beta"":0.6874921,""discountRate"":0.006687387}]",2,0,0,1,0,0,0,5,6,4,4,5,4,4,4,3,4,4,4,4,5,4,7,13,9,5,5,3,7,7,0,15,20,50,15,500,100,0.1,4,4,4,9,1,5,5,5,1,1,10,10,6,1,1,1,4,7,6,6,3,4,2,2,NA,2,2,2,50,43.148193,-72.4664,43600.31635,43600.324,0.737058768,0.007407845,0.148799415,0.772551987,0.006519517,0.135343438
1,0,1,2,3.199,1.058589,0,25,207.191.102.62,207.191.102.62,"[{},{""id"":0,""beta"":0.8,""discountRate"":0.008,""choice"":1,""answer"":2,""responseTime"":3.199},{""id"":524288,""beta"":1.058589,""discountRate"":0,""choice"":0,""answer"":1,""responseTime"":2.167},{""id"":524289,""beta"":0.8798351,""discountRate"":0.002765065,""choice"":1,""answer"":2,""responseTime"":1.559},{""id"":655361,""beta"":1.42172,""discountRate"":0.008094475,""choice"":1,""answer"":2,""responseTime"":4.256},{""id"":720897,""beta"":1.054489,""discountRate"":0.0028856420000000003,""choice"":0,""answer"":1,""responseTime"":2.071},{""id"":720898,""beta"":0.9542596000000001,""discountRate"":0.0027734829999999998,""choice"":1,""answer"":2,""responseTime"":1.375},{""id"":737282,""beta"":0.9499832,""discountRate"":0.002062593,""choice"":0,""answer"":1,""responseTime"":2},{""id"":737283,""beta"":0.8234904,""discountRate"":0.0003973051,""choice"":1,""answer"":2,""responseTime"":2.496},{""id"":741379,""beta"":0.8369841,""discountRate"":0,""choice"":1,""answer"":2,""responseTime"":1.879},{""id"":743427,""beta"":0.8920683,""discountRate"":0,""choice"":0,""answer"":1,""responseTime"":1.895},{""id"":743428,""beta"":0.8785546000000001,""discountRate"":0,""choice"":1,""answer"":2,""responseTime"":2.184},{""id"":743940,""beta"":0.8961247,""discountRate"":0,""choice"":0,""answer"":1,""responseTime"":1.256},{""id"":743941,""beta"":0.8859309,""discountRate"":0}]",3,0,0,1,0,0,0,5,4,4,5,6,4,4,3,2,3,6,5,3,5,5,5,12,12,3,0,5,5,5,0,12,15,33,40,500,10,0.1,4,4,4,8,1,5,5,5,1,1,7,7,7,1,1,2,5,8,2,5,3,4,3,2,NA,2,2,2,50,30.932999,-92.954803,43600.32223,43600.325,0.975191396,0.001651871,0.624823396,0.982292314,0.004771877,0.273124202
1,0,0,1,6.532,0.6703449,0.05,37,98.225.68.155,98.225.68.155,"[{},{""id"":0,""beta"":0.8,""discountRate"":0.008,""choice"":0,""answer"":1,""responseTime"":6.532},{""id"":1,""beta"":0.6703449,""discountRate"":0.05,""choice"":0,""answer"":1,""responseTime"":4.223},{""id"":2,""beta"":0,""discountRate"":0.009391811,""choice"":1,""answer"":2,""responseTime"":4.216},{""id"":131074,""beta"":0.1488836,""discountRate"":0,""choice"":0,""answer"":1,""responseTime"":3.252},{""id"":131075,""beta"":0.03310832,""discountRate"":0,""choice"":1,""answer"":2,""responseTime"":3.875},{""id"":163843,""beta"":0.08982643,""discountRate"":0,""choice"":1,""answer"":2,""responseTime"":5.551},{""id"":180227,""beta"":0.12518780000000002,""discountRate"":0,""choice"":0,""answer"":1,""responseTime"":3.184},{""id"":180228,""beta"":0.08989986000000001,""discountRate"":0,""choice"":1,""answer"":2,""responseTime"":2.823},{""id"":184324,""beta"":0.106874,""discountRate"":0,""choice"":0,""answer"":1,""responseTime"":3.535},{""id"":184325,""beta"":0.2649494,""discountRate"":0.01218115,""choice"":1,""answer"":2,""responseTime"":3.622},{""id"":185349,""beta"":0.374357,""discountRate"":0.015643340000000002,""choice"":0,""answer"":1,""responseTime"":3.583},{""id"":185350,""beta"":0.3132256,""discountRate"":0.01378496,""choice"":1,""answer"":2,""responseTime"":4.635},{""id"":185606,""beta"":0.3673322,""discountRate"":0.015435730000000002}]",4,0,0,1,0,0,0,4,4,6,4,4,4,4,1,6,4,5,4,3,5,3,4,13,12,3,4,5,6,7,2,5,18,23,52,450,10,1,5,4,5,4,5,1,5,5,1,5,7,7,5,1,1,1,4,2,6,6,5,1,2,2,NA,2,2,2,4,32.142197,-111.0506,43600.32104,43600.326,0.492957924,0.012639859,0.114286753,0.67597925,0.004386107,0.285112349
1,0,1,2,3.136,1.058589,0,49,70.61.175.30,70.61.175.30,"[{},{""id"":0,""beta"":0.8,""discountRate"":0.008,""choice"":1,""answer"":2,""responseTime"":3.136},{""id"":524288,""beta"":1.058589,""discountRate"":0,""choice"":0,""answer"":1,""responseTime"":4.046},{""id"":524289,""beta"":0.8798351,""discountRate"":0.002765065,""choice"":1,""answer"":2,""responseTime"":2.822},{""id"":655361,""beta"":1.42172,""discountRate"":0.008094475,""choice"":1,""answer"":2,""responseTime"":3.391},{""id"":720897,""beta"":1.054489,""discountRate"":0.0028856420000000003,""choice"":0,""answer"":1,""responseTime"":4.024},{""id"":720898,""beta"":0.9542596000000001,""discountRate"":0.0027734829999999998,""choice"":1,""answer"":2,""responseTime"":2.4},{""id"":737282,""beta"":0.9499832,""discountRate"":0.002062593,""choice"":1,""answer"":2,""responseTime"":2.207},{""id"":745474,""beta"":0.9890051,""discountRate"":0.002527052,""choice"":1,""answer"":2,""responseTime"":2.399},{""id"":749570,""beta"":0.9755389,""discountRate"":0.0012875640000000002,""choice"":0,""answer"":1,""responseTime"":3.911},{""id"":749571,""beta"":0.9822664,""discountRate"":0.001837015,""choice"":1,""answer"":2,""responseTime"":2.167},{""id"":750595,""beta"":1.008024,""discountRate"":0.002114382,""choice"":0,""answer"":1,""responseTime"":3.495},{""id"":750596,""beta"":1.011687,""discountRate"":0.002422285,""choice"":1,""answer"":2,""responseTime"":2.543},{""id"":750852,""beta"":1.027059,""discountRate"":0.002599575}]",5,0,0,1,0,0,0,4,4,4,4,6,4,5,4,6,3,6,4,3,5,5,6,14,14,5,3,6,8,8,0,25,25,25,25,500,10,0.1,4,4,4,8,1,1,4,1,1,1,7,7,6,1,1,1,5,8,6,5,3,4,3,2,NA,2,2,2,2500,39.260696,-84.411102,43600.32578,43600.33,0.982971458,0.001561907,0.601813148,0.981854913,0.002548361,0.433295946
1,0,1,2,2.367,1.058589,0,61,24.158.1.174,24.158.1.174,"[{},{""id"":0,""beta"":0.8,""discountRate"":0.008,""choice"":1,""answer"":2,""responseTime"":2.367},{""id"":524288,""beta"":1.058589,""discountRate"":0,""choice"":0,""answer"":1,""responseTime"":2.086},{""id"":524289,""beta"":0.8798351,""discountRate"":0.002765065,""choice"":1,""answer"":2,""responseTime"":2.756},{""id"":655361,""beta"":1.42172,""discountRate"":0.008094475,""choice"":1,""answer"":2,""responseTime"":1.799},{""id"":720897,""beta"":1.054489,""discountRate"":0.0028856420000000003,""choice"":0,""answer"":1,""responseTime"":2.505},{""id"":720898,""beta"":0.9542596000000001,""discountRate"":0.0027734829999999998,""choice"":1,""answer"":2,""responseTime"":1.735},{""id"":737282,""beta"":0.9499832,""discountRate"":0.002062593,""choice"":1,""answer"":2,""responseTime"":2.4},{""id"":745474,""beta"":0.9890051,""discountRate"":0.002527052,""choice"":0,""answer"":1,""responseTime"":2.929},{""id"":745475,""beta"":0.9934161,""discountRate"":0.003473677,""choice"":1,""answer"":2,""responseTime"":3.006},{""id"":747523,""beta"":1.02146,""discountRate"":0.0037045990000000003,""choice"":1,""answer"":2,""responseTime"":4.023},{""id"":748547,""beta"":1.04018,""discountRate"":0.0038568689999999997,""choice"":1,""answer"":2,""responseTime"":2.65},{""id"":749059,""beta"":1.054044,""discountRate"":0.003968287,""choice"":0,""answer"":1,""responseTime"":2.447},{""id"":749060,""beta"":1.056752,""discountRate"":0.004782003}]",6,0,0,0,1,0,0,5,5,2,5,4,4,6,2,4,6,5,4,6,6,5,5,13,13,3,4,6,7,7,0,25,25,25,25,500,10,0.1,4,4,4,8,1,5,4,1,1,1,10,7,6,1,1,1,4,6,4,5,3,4,3,2,NA,2,2,1,200,43.034393,-89.500702,43600.32728,43600.332,0.988627343,0.004440356,0.216166884,0.96448306,0.003702889,0.317900631
1,0,1,2,9.808,1.058589,0,73,73.236.186.252,73.236.186.252,"[{},{""id"":0,""beta"":0.8,""discountRate"":0.008,""choice"":1,""answer"":2,""responseTime"":9.808},{""id"":524288,""beta"":1.058589,""discountRate"":0,""choice"":0,""answer"":1,""responseTime"":5.837},{""id"":524289,""beta"":0.8798351,""discountRate"":0.002765065,""choice"":1,""answer"":2,""responseTime"":6.063},{""id"":655361,""beta"":1.42172,""discountRate"":0.008094475,""choice"":1,""answer"":2,""responseTime"":13.403},{""id"":720897,""beta"":1.054489,""discountRate"":0.0028856420000000003,""choice"":0,""answer"":1,""responseTime"":5.584},{""id"":720898,""beta"":0.9542596000000001,""discountRate"":0.0027734829999999998,""choice"":0,""answer"":1,""responseTime"":6.901},{""id"":720899,""beta"":0.9347612,""discountRate"":0.005225410000000001,""choice"":0,""answer"":1,""responseTime"":4.776},{""id"":720900,""beta"":0.8520279,""discountRate"":0.004694948,""choice"":0,""answer"":1,""responseTime"":4.083},{""id"":720901,""beta"":0.7990147999999999,""discountRate"":0.004150582999999999,""choice"":1,""answer"":2,""responseTime"":7.693},{""id"":722949,""beta"":0.7983986,""discountRate"":0.003487227,""choice"":0,""answer"":1,""responseTime"":4.543},{""id"":722950,""beta"":0.7649508,""discountRate"":0.003071354,""choice"":0,""answer"":1,""responseTime"":3.749},{""id"":722951,""beta"":0.7425475,""discountRate"":0.002779896,""choice"":1,""answer"":2,""responseTime"":4.256},{""id"":723207,""beta"":0.7491136,""discountRate"":0.00228278}]",7,1,0,0,0,0,0,3,2,3,2,6,5,3,3,5,6,5,6,5,5,6,6,12,13,3,2,3,5,5,28,36,20,9,7,500,10,1,4,4,4,8,1,1,5,1,1,4,4,7,5,1,1,1,4,3,2,6,3,2,3,2,NA,2,2,2,100,40.269196,-80.161102,43600.32806,43600.337,0.800487007,0.003351442,0.419237129,0.809432313,0.003652999,0.268396537
1,0,0,1,3.03,0.6703449,0.05,85,63.115.156.16,63.115.156.16,"[{},{""id"":0,""beta"":0.8,""discountRate"":0.008,""choice"":0,""answer"":1,""responseTime"":3.03},{""id"":1,""beta"":0.6703449,""discountRate"":0.05,""choice"":0,""answer"":1,""responseTime"":1.678},{""id"":2,""beta"":0,""discountRate"":0.009391811,""choice"":0,""answer"":1,""responseTime"":1.726},{""id"":3,""beta"":0,""discountRate"":0.009377893,""choice"":0,""answer"":1,""responseTime"":1.541},{""id"":4,""beta"":0,""discountRate"":0.009364114,""choice"":1,""answer"":2,""responseTime"":2.969},{""id"":32772,""beta"":0.000003678771,""discountRate"":0.009364032,""choice"":1,""answer"":2,""responseTime"":2.326},{""id"":49156,""beta"":0.08975401,""discountRate"":0.05,""choice"":0,""answer"":1,""responseTime"":2.399},{""id"":49157,""beta"":0.1177894,""discountRate"":0.05,""choice"":1,""answer"":2,""responseTime"":2.33},{""id"":53253,""beta"":0.16859380000000002,""discountRate"":0.05,""choice"":1,""answer"":2,""responseTime"":3.227},{""id"":55301,""beta"":0.1320903,""discountRate"":0.03133591,""choice"":1,""answer"":2,""responseTime"":1.804},{""id"":56325,""beta"":0.1729992,""discountRate"":0.029790010000000002,""choice"":1,""answer"":2,""responseTime"":2.404},{""id"":56837,""beta"":0.2223959,""discountRate"":0.0284779,""choice"":1,""answer"":2,""responseTime"":1.568},{""id"":57093,""beta"":0.25509139999999997,""discountRate"":0.024034180000000002}]",8,0,1,0,0,0,0,6,6,6,5,6,6,6,6,6,5,6,6,6,6,6,6,13,12,5,5,6,8,9,25,16,21,21,17,500,10,1,6,1,4,4,1,4,5,4,5,6,8,4,4,1,1,2,5,8,2,5,4,2,3,2,NA,2,2,2,100,37.756195,-122.4866,43600.3366,43600.339,0.755291402,0.009879699,0.205350323,0.672552539,0.003592235,0.32739227
1,0,1,2,3.598,1.058589,0,97,72.133.114.59,72.133.114.59,"[{},{""id"":0,""beta"":0.8,""discountRate"":0.008,""choice"":1,""answer"":2,""responseTime"":3.598},{""id"":524288,""beta"":1.058589,""discountRate"":0,""choice"":0,""answer"":1,""responseTime"":2.753},{""id"":524289,""beta"":0.8798351,""discountRate"":0.002765065,""choice"":1,""answer"":2,""responseTime"":4.153},{""id"":655361,""beta"":1.42172,""discountRate"":0.008094475,""choice"":1,""answer"":2,""responseTime"":5.647},{""id"":720897,""beta"":1.054489,""discountRate"":0.0028856420000000003,""choice"":0,""answer"":1,""responseTime"":3.435},{""id"":720898,""beta"":0.9542596000000001,""discountRate"":0.0027734829999999998,""choice"":1,""answer"":2,""responseTime"":3.315},{""id"":737282,""beta"":0.9499832,""discountRate"":0.002062593,""choice"":0,""answer"":1,""responseTime"":4.136},{""id"":737283,""beta"":0.8234904,""discountRate"":0.0003973051,""choice"":0,""answer"":1,""responseTime"":5.115},{""id"":737284,""beta"":0.8303126,""discountRate"":0.0016411000000000002,""choice"":0,""answer"":1,""responseTime"":3.541},{""id"":737285,""beta"":0.7810733999999999,""discountRate"":0.000996241,""choice"":1,""answer"":2,""responseTime"":3.289},{""id"":738309,""beta"":0.8289979,""discountRate"":0.001624582,""choice"":0,""answer"":1,""responseTime"":3.202},{""id"":738310,""beta"":0.8335106,""discountRate"":0.002636731,""choice"":0,""answer"":1,""responseTime"":7.547},{""id"":738311,""beta"":0.8057011000000001,""discountRate"":0.0023004230000000002}]",9,0,0,1,0,0,0,7,6,2,2,6,3,7,3,7,4,5,2,4,7,2,3,13,13,4,4,6,8,9,0,8,0,41,51,450,1,0.1,5,4,4,8,5,1,5,5,1,4,10,4,6,1,1,1,4,4,3,6,5,2,3,2,NA,2,2,2,5,30.449005,-97.966904,43600.33066,43600.339,0.876225329,0.003688632,0.37637518,0.831579316,0.003242898,0.326840107
1,0,1,2,4.549,1.058589,0,109,71.214.31.1,71.214.31.1,"[{},{""id"":0,""beta"":0.8,""discountRate"":0.008,""choice"":1,""answer"":2,""responseTime"":4.549},{""id"":524288,""beta"":1.058589,""discountRate"":0,""choice"":0,""answer"":1,""responseTime"":4.293},{""id"":524289,""beta"":0.8798351,""discountRate"":0.002765065,""choice"":1,""answer"":2,""responseTime"":5.078},{""id"":655361,""beta"":1.42172,""discountRate"":0.008094475,""choice"":1,""answer"":2,""responseTime"":4.79},{""id"":720897,""beta"":1.054489,""discountRate"":0.0028856420000000003,""choice"":0,""answer"":1,""responseTime"":2.626},{""id"":720898,""beta"":0.9542596000000001,""discountRate"":0.0027734829999999998,""choice"":1,""answer"":2,""responseTime"":2.698},{""id"":737282,""beta"":0.9499832,""discountRate"":0.002062593,""choice"":1,""answer"":2,""responseTime"":3.099},{""id"":745474,""beta"":0.9890051,""discountRate"":0.002527052,""choice"":0,""answer"":1,""responseTime"":2.579},{""id"":745475,""beta"":0.9934161,""discountRate"":0.003473677,""choice"":1,""answer"":2,""responseTime"":2.478},{""id"":747523,""beta"":1.02146,""discountRate"":0.0037045990000000003,""choice"":1,""answer"":2,""responseTime"":4.136},{""id"":748547,""beta"":1.04018,""discountRate"":0.0038568689999999997,""choice"":1,""answer"":2,""responseTime"":3.534},{""id"":749059,""beta"":1.054044,""discountRate"":0.003968287,""choice"":0,""answer"":1,""responseTime"":2.909},{""id"":749060,""beta"":1.056752,""discountRate"":0.004782003}]",10,0,0,1,0,0,0,7,6,4,6,5,4,7,5,5,7,7,5,1,7,5,3,13,8,4,1,4,4,6,0,10,10,60,20,500,10,0.1,6,5,4,8,5,5,6,6,5,1,10,10,7,1,1,2,5,8,2,6,3,4,3,2,NA,1,1,2,100,28.800995,-81.734001,43600.33385,43600.34,0.987317085,0.004367651,0.229791373,1.020993395,0.004958346,0.180869311
