id,expname,subject,ip,condnum,choice,submitted,event,name,value,time,mlchoice
4598,ChoiceCC_la,757,107.202.124.147,-1,OptionD-Anywhere,5/8/2019 20:38,submit,submit,succeeded,52728,OptionD-Anywhere
4614,ChoiceCC_la,6446,71.233.41.37,-1,OptionD-Anywhere,5/15/2019 9:34,onload,body,body,407,OptionD-Anywhere
4614,ChoiceCC_la,6446,71.233.41.37,-1,OptionD-Anywhere,5/15/2019 9:34,subject,random,18,416,OptionD-Anywhere
4614,ChoiceCC_la,6446,71.233.41.37,-1,OptionD-Anywhere,5/15/2019 9:34,order,col,0_4_1_2_3,416,OptionD-Anywhere
4614,ChoiceCC_la,6446,71.233.41.37,-1,OptionD-Anywhere,5/15/2019 9:34,order,row,0_1_2_3_4_5,417,OptionD-Anywhere
4614,ChoiceCC_la,6446,71.233.41.37,-1,OptionD-Anywhere,5/15/2019 9:34,events,open_close,0_0,417,OptionD-Anywhere
4614,ChoiceCC_la,6446,71.233.41.37,-1,OptionD-Anywhere,5/15/2019 9:34,mouseover,iAPR 4,N/A (no introductory interest rate),4358,OptionD-Anywhere
4614,ChoiceCC_la,6446,71.233.41.37,-1,OptionD-Anywhere,5/15/2019 9:34,mouseout,iAPR 4,,9675,OptionD-Anywhere
4614,ChoiceCC_la,6446,71.233.41.37,-1,OptionD-Anywhere,5/15/2019 9:34,mouseover,iPeriod4,0 months,9692,OptionD-Anywhere
4614,ChoiceCC_la,6446,71.233.41.37,-1,OptionD-Anywhere,5/15/2019 9:34,mouseout,iPeriod4,,10708,OptionD-Anywhere
4614,ChoiceCC_la,6446,71.233.41.37,-1,OptionD-Anywhere,5/15/2019 9:34,mouseover,iAPR 4,N/A (no introductory interest rate),10726,OptionD-Anywhere
4614,ChoiceCC_la,6446,71.233.41.37,-1,OptionD-Anywhere,5/15/2019 9:34,mouseout,iAPR 4,,10775,OptionD-Anywhere
4614,ChoiceCC_la,6446,71.233.41.37,-1,OptionD-Anywhere,5/15/2019 9:34,mouseover,iAPR 1,5%,10791,OptionD-Anywhere
4614,ChoiceCC_la,6446,71.233.41.37,-1,OptionD-Anywhere,5/15/2019 9:34,mouseout,iAPR 1,,11658,OptionD-Anywhere
4614,ChoiceCC_la,6446,71.233.41.37,-1,OptionD-Anywhere,5/15/2019 9:34,mouseover,iAPR 4,N/A (no introductory interest rate),11676,OptionD-Anywhere
4614,ChoiceCC_la,6446,71.233.41.37,-1,OptionD-Anywhere,5/15/2019 9:34,mouseout,iAPR 4,,11742,OptionD-Anywhere
4614,ChoiceCC_la,6446,71.233.41.37,-1,OptionD-Anywhere,5/15/2019 9:34,mouseover,iPeriod4,0 months,11759,OptionD-Anywhere
4614,ChoiceCC_la,6446,71.233.41.37,-1,OptionD-Anywhere,5/15/2019 9:34,mouseout,iPeriod4,,11842,OptionD-Anywhere
4614,ChoiceCC_la,6446,71.233.41.37,-1,OptionD-Anywhere,5/15/2019 9:34,mouseover,4-Apr,14.94%,11842,OptionD-Anywhere
4614,ChoiceCC_la,6446,71.233.41.37,-1,OptionD-Anywhere,5/15/2019 9:34,mouseout,4-Apr,,12692,OptionD-Anywhere
4614,ChoiceCC_la,6446,71.233.41.37,-1,OptionD-Anywhere,5/15/2019 9:34,mouseover,1-Apr,15.24%,12692,OptionD-Anywhere
4614,ChoiceCC_la,6446,71.233.41.37,-1,OptionD-Anywhere,5/15/2019 9:34,mouseout,1-Apr,,13175,OptionD-Anywhere
4614,ChoiceCC_la,6446,71.233.41.37,-1,OptionD-Anywhere,5/15/2019 9:34,mouseover,2-Apr,19.79%,13192,OptionD-Anywhere
4614,ChoiceCC_la,6446,71.233.41.37,-1,OptionD-Anywhere,5/15/2019 9:34,mouseout,2-Apr,,13676,OptionD-Anywhere
4614,ChoiceCC_la,6446,71.233.41.37,-1,OptionD-Anywhere,5/15/2019 9:34,mouseover,3-Apr,20.99%,13677,OptionD-Anywhere
4614,ChoiceCC_la,6446,71.233.41.37,-1,OptionD-Anywhere,5/15/2019 9:34,mouseout,3-Apr,,14359,OptionD-Anywhere
4614,ChoiceCC_la,6446,71.233.41.37,-1,OptionD-Anywhere,5/15/2019 9:34,mouseover,2-Apr,19.79%,14359,OptionD-Anywhere
4614,ChoiceCC_la,6446,71.233.41.37,-1,OptionD-Anywhere,5/15/2019 9:34,mouseout,2-Apr,,14391,OptionD-Anywhere
4614,ChoiceCC_la,6446,71.233.41.37,-1,OptionD-Anywhere,5/15/2019 9:34,mouseover,1-Apr,15.24%,14391,OptionD-Anywhere
4614,ChoiceCC_la,6446,71.233.41.37,-1,OptionD-Anywhere,5/15/2019 9:34,mouseout,1-Apr,,14425,OptionD-Anywhere
4614,ChoiceCC_la,6446,71.233.41.37,-1,OptionD-Anywhere,5/15/2019 9:34,mouseover,4-Apr,14.94%,14425,OptionD-Anywhere
4614,ChoiceCC_la,6446,71.233.41.37,-1,OptionD-Anywhere,5/15/2019 9:34,mouseout,4-Apr,,14792,OptionD-Anywhere
4614,ChoiceCC_la,6446,71.233.41.37,-1,OptionD-Anywhere,5/15/2019 9:34,mouseover,iPeriod4,0 months,14792,OptionD-Anywhere
4614,ChoiceCC_la,6446,71.233.41.37,-1,OptionD-Anywhere,5/15/2019 9:34,mouseout,iPeriod4,,14860,OptionD-Anywhere
4614,ChoiceCC_la,6446,71.233.41.37,-1,OptionD-Anywhere,5/15/2019 9:34,mouseover,iAPR 4,N/A (no introductory interest rate),14860,OptionD-Anywhere
4614,ChoiceCC_la,6446,71.233.41.37,-1,OptionD-Anywhere,5/15/2019 9:34,mouseout,iAPR 4,,15359,OptionD-Anywhere
4614,ChoiceCC_la,6446,71.233.41.37,-1,OptionD-Anywhere,5/15/2019 9:34,mouseover,iAPR 1,5%,15375,OptionD-Anywhere
4614,ChoiceCC_la,6446,71.233.41.37,-1,OptionD-Anywhere,5/15/2019 9:34,mouseout,iAPR 1,,15959,OptionD-Anywhere
4614,ChoiceCC_la,6446,71.233.41.37,-1,OptionD-Anywhere,5/15/2019 9:34,mouseover,iAPR 2,0%,15976,OptionD-Anywhere
4614,ChoiceCC_la,6446,71.233.41.37,-1,OptionD-Anywhere,5/15/2019 9:34,mouseout,iAPR 2,,16559,OptionD-Anywhere
4614,ChoiceCC_la,6446,71.233.41.37,-1,OptionD-Anywhere,5/15/2019 9:34,mouseover,iAPR 3,0%,16576,OptionD-Anywhere
4614,ChoiceCC_la,6446,71.233.41.37,-1,OptionD-Anywhere,5/15/2019 9:34,mouseout,iAPR 3,,18492,OptionD-Anywhere
4614,ChoiceCC_la,6446,71.233.41.37,-1,OptionD-Anywhere,5/15/2019 9:34,mouseover,iAPR 2,0%,18526,OptionD-Anywhere
4614,ChoiceCC_la,6446,71.233.41.37,-1,OptionD-Anywhere,5/15/2019 9:34,mouseout,iAPR 2,,18693,OptionD-Anywhere
4614,ChoiceCC_la,6446,71.233.41.37,-1,OptionD-Anywhere,5/15/2019 9:34,mouseover,iAPR 1,5%,18693,OptionD-Anywhere
4614,ChoiceCC_la,6446,71.233.41.37,-1,OptionD-Anywhere,5/15/2019 9:34,mouseout,iAPR 1,,18776,OptionD-Anywhere
4614,ChoiceCC_la,6446,71.233.41.37,-1,OptionD-Anywhere,5/15/2019 9:34,mouseover,iAPR 4,N/A (no introductory interest rate),18776,OptionD-Anywhere
4614,ChoiceCC_la,6446,71.233.41.37,-1,OptionD-Anywhere,5/15/2019 9:34,mouseout,iAPR 4,,19709,OptionD-Anywhere
4614,ChoiceCC_la,6446,71.233.41.37,-1,OptionD-Anywhere,5/15/2019 9:34,mouseover,iPeriod4,0 months,19709,OptionD-Anywhere
4614,ChoiceCC_la,6446,71.233.41.37,-1,OptionD-Anywhere,5/15/2019 9:34,mouseout,iPeriod4,,20292,OptionD-Anywhere
4614,ChoiceCC_la,6446,71.233.41.37,-1,OptionD-Anywhere,5/15/2019 9:34,mouseover,iPeriod 1,6 months,20292,OptionD-Anywhere
4614,ChoiceCC_la,6446,71.233.41.37,-1,OptionD-Anywhere,5/15/2019 9:34,mouseout,iPeriod 1,,20977,OptionD-Anywhere
4614,ChoiceCC_la,6446,71.233.41.37,-1,OptionD-Anywhere,5/15/2019 9:34,mouseover,iPeriod 2,6 months,20977,OptionD-Anywhere
4614,ChoiceCC_la,6446,71.233.41.37,-1,OptionD-Anywhere,5/15/2019 9:34,mouseout,iPeriod 2,,21410,OptionD-Anywhere
4614,ChoiceCC_la,6446,71.233.41.37,-1,OptionD-Anywhere,5/15/2019 9:34,mouseover,iPeriod 3,6 months,21410,OptionD-Anywhere
4614,ChoiceCC_la,6446,71.233.41.37,-1,OptionD-Anywhere,5/15/2019 9:34,mouseout,iPeriod 3,,21844,OptionD-Anywhere
4614,ChoiceCC_la,6446,71.233.41.37,-1,OptionD-Anywhere,5/15/2019 9:34,mouseover,iPeriod 2,6 months,21844,OptionD-Anywhere
4614,ChoiceCC_la,6446,71.233.41.37,-1,OptionD-Anywhere,5/15/2019 9:34,mouseout,iPeriod 2,,21909,OptionD-Anywhere
4614,ChoiceCC_la,6446,71.233.41.37,-1,OptionD-Anywhere,5/15/2019 9:34,mouseover,iPeriod 1,6 months,21910,OptionD-Anywhere
4614,ChoiceCC_la,6446,71.233.41.37,-1,OptionD-Anywhere,5/15/2019 9:34,mouseout,iPeriod 1,,22260,OptionD-Anywhere
4614,ChoiceCC_la,6446,71.233.41.37,-1,OptionD-Anywhere,5/15/2019 9:34,mouseover,iAPR 1,5%,22260,OptionD-Anywhere
4614,ChoiceCC_la,6446,71.233.41.37,-1,OptionD-Anywhere,5/15/2019 9:34,mouseout,iAPR 1,,22642,OptionD-Anywhere
4614,ChoiceCC_la,6446,71.233.41.37,-1,OptionD-Anywhere,5/15/2019 9:34,mouseover,iAPR 2,0%,22643,OptionD-Anywhere
4614,ChoiceCC_la,6446,71.233.41.37,-1,OptionD-Anywhere,5/15/2019 9:34,mouseout,iAPR 2,,23027,OptionD-Anywhere
4614,ChoiceCC_la,6446,71.233.41.37,-1,OptionD-Anywhere,5/15/2019 9:34,mouseover,iAPR 3,0%,23043,OptionD-Anywhere
4614,ChoiceCC_la,6446,71.233.41.37,-1,OptionD-Anywhere,5/15/2019 9:34,mouseout,iAPR 3,,23377,OptionD-Anywhere
4614,ChoiceCC_la,6446,71.233.41.37,-1,OptionD-Anywhere,5/15/2019 9:34,mouseover,iAPR 2,0%,23392,OptionD-Anywhere
4614,ChoiceCC_la,6446,71.233.41.37,-1,OptionD-Anywhere,5/15/2019 9:34,mouseout,iAPR 2,,23493,OptionD-Anywhere
4614,ChoiceCC_la,6446,71.233.41.37,-1,OptionD-Anywhere,5/15/2019 9:34,mouseover,iPeriod 2,6 months,23543,OptionD-Anywhere
4614,ChoiceCC_la,6446,71.233.41.37,-1,OptionD-Anywhere,5/15/2019 9:34,mouseout,iPeriod 2,,24109,OptionD-Anywhere
4614,ChoiceCC_la,6446,71.233.41.37,-1,OptionD-Anywhere,5/15/2019 9:34,mouseover,iAPR 2,0%,24126,OptionD-Anywhere
4614,ChoiceCC_la,6446,71.233.41.37,-1,OptionD-Anywhere,5/15/2019 9:34,mouseout,iAPR 2,,24427,OptionD-Anywhere
4614,ChoiceCC_la,6446,71.233.41.37,-1,OptionD-Anywhere,5/15/2019 9:34,mouseover,iPeriod 2,6 months,24427,OptionD-Anywhere
4614,ChoiceCC_la,6446,71.233.41.37,-1,OptionD-Anywhere,5/15/2019 9:34,mouseout,iPeriod 2,,24476,OptionD-Anywhere
4614,ChoiceCC_la,6446,71.233.41.37,-1,OptionD-Anywhere,5/15/2019 9:34,mouseover,2-Apr,19.79%,24476,OptionD-Anywhere
4614,ChoiceCC_la,6446,71.233.41.37,-1,OptionD-Anywhere,5/15/2019 9:34,mouseout,2-Apr,,24927,OptionD-Anywhere
4614,ChoiceCC_la,6446,71.233.41.37,-1,OptionD-Anywhere,5/15/2019 9:34,mouseover,AnnualFee 2,$39 ,24943,OptionD-Anywhere
4614,ChoiceCC_la,6446,71.233.41.37,-1,OptionD-Anywhere,5/15/2019 9:34,mouseout,AnnualFee 2,,25811,OptionD-Anywhere
4614,ChoiceCC_la,6446,71.233.41.37,-1,OptionD-Anywhere,5/15/2019 9:34,mouseover,AnnualFee 1,$39 ,25811,OptionD-Anywhere
4614,ChoiceCC_la,6446,71.233.41.37,-1,OptionD-Anywhere,5/15/2019 9:34,mouseout,AnnualFee 1,,26677,OptionD-Anywhere
4614,ChoiceCC_la,6446,71.233.41.37,-1,OptionD-Anywhere,5/15/2019 9:34,mouseover,AnnualFee 4,$29 ,26677,OptionD-Anywhere
4614,ChoiceCC_la,6446,71.233.41.37,-1,OptionD-Anywhere,5/15/2019 9:34,mouseout,AnnualFee 4,,29877,OptionD-Anywhere
4614,ChoiceCC_la,6446,71.233.41.37,-1,OptionD-Anywhere,5/15/2019 9:34,mouseover,OptionD-Anywhere,Anywhere,30944,OptionD-Anywhere
4614,ChoiceCC_la,6446,71.233.41.37,-1,OptionD-Anywhere,5/15/2019 9:34,onclick,OptionD-Anywhere,Anywhere,31585,OptionD-Anywhere
4614,ChoiceCC_la,6446,71.233.41.37,-1,OptionD-Anywhere,5/15/2019 9:34,mouseout,OptionD-Anywhere,Anywhere,31931,OptionD-Anywhere
4614,ChoiceCC_la,6446,71.233.41.37,-1,OptionD-Anywhere,5/15/2019 9:34,submit,submit,submit,37678,OptionD-Anywhere
4614,ChoiceCC_la,6446,71.233.41.37,-1,OptionD-Anywhere,5/15/2019 9:34,submit,submit,succeeded,37679,OptionD-Anywhere
