id,expname,subject,ip,condnum,choice,submitted,event,name,value,time,mlchoice
4621,ChoiceCC_trial2_lb,4616,98.225.68.155,-1,OptionD-Sequin,5/15/2019 9:42,onload,body,body,330,OptionD-Sequin
4621,ChoiceCC_trial2_lb,4616,98.225.68.155,-1,OptionD-Sequin,5/15/2019 9:42,subject,random,12,353,OptionD-Sequin
4621,ChoiceCC_trial2_lb,4616,98.225.68.155,-1,OptionD-Sequin,5/15/2019 9:42,order,col,0_3_1_2_4,353,OptionD-Sequin
4621,ChoiceCC_trial2_lb,4616,98.225.68.155,-1,OptionD-Sequin,5/15/2019 9:42,order,row,0_1_2_3_4_5,353,OptionD-Sequin
4621,ChoiceCC_trial2_lb,4616,98.225.68.155,-1,OptionD-Sequin,5/15/2019 9:42,events,open_close,0_0,353,OptionD-Sequin
4621,ChoiceCC_trial2_lb,4616,98.225.68.155,-1,OptionD-Sequin,5/15/2019 9:42,mouseover,iAPR 3,5%,2307,OptionD-Sequin
4621,ChoiceCC_trial2_lb,4616,98.225.68.155,-1,OptionD-Sequin,5/15/2019 9:42,mouseout,iAPR 3,,3174,OptionD-Sequin
4621,ChoiceCC_trial2_lb,4616,98.225.68.155,-1,OptionD-Sequin,5/15/2019 9:42,mouseover,iAPR 1,0%,3174,OptionD-Sequin
4621,ChoiceCC_trial2_lb,4616,98.225.68.155,-1,OptionD-Sequin,5/15/2019 9:42,mouseout,iAPR 1,,3808,OptionD-Sequin
4621,ChoiceCC_trial2_lb,4616,98.225.68.155,-1,OptionD-Sequin,5/15/2019 9:42,mouseover,iAPR 2,5%,4191,OptionD-Sequin
4621,ChoiceCC_trial2_lb,4616,98.225.68.155,-1,OptionD-Sequin,5/15/2019 9:42,mouseout,iAPR 2,,4707,OptionD-Sequin
4621,ChoiceCC_trial2_lb,4616,98.225.68.155,-1,OptionD-Sequin,5/15/2019 9:42,mouseover,iAPR 4,0%,4708,OptionD-Sequin
4621,ChoiceCC_trial2_lb,4616,98.225.68.155,-1,OptionD-Sequin,5/15/2019 9:42,mouseout,iAPR 4,,5641,OptionD-Sequin
4621,ChoiceCC_trial2_lb,4616,98.225.68.155,-1,OptionD-Sequin,5/15/2019 9:42,mouseover,iPeriod4,2 months,5708,OptionD-Sequin
4621,ChoiceCC_trial2_lb,4616,98.225.68.155,-1,OptionD-Sequin,5/15/2019 9:42,mouseout,iPeriod4,,6491,OptionD-Sequin
4621,ChoiceCC_trial2_lb,4616,98.225.68.155,-1,OptionD-Sequin,5/15/2019 9:42,mouseover,iPeriod 2,6 months,6507,OptionD-Sequin
4621,ChoiceCC_trial2_lb,4616,98.225.68.155,-1,OptionD-Sequin,5/15/2019 9:42,mouseout,iPeriod 2,,7107,OptionD-Sequin
4621,ChoiceCC_trial2_lb,4616,98.225.68.155,-1,OptionD-Sequin,5/15/2019 9:42,mouseover,iPeriod 1,6 months,7108,OptionD-Sequin
4621,ChoiceCC_trial2_lb,4616,98.225.68.155,-1,OptionD-Sequin,5/15/2019 9:42,mouseout,iPeriod 1,,7791,OptionD-Sequin
4621,ChoiceCC_trial2_lb,4616,98.225.68.155,-1,OptionD-Sequin,5/15/2019 9:42,mouseover,iPeriod 3,12 months,7791,OptionD-Sequin
4621,ChoiceCC_trial2_lb,4616,98.225.68.155,-1,OptionD-Sequin,5/15/2019 9:42,mouseout,iPeriod 3,,8325,OptionD-Sequin
4621,ChoiceCC_trial2_lb,4616,98.225.68.155,-1,OptionD-Sequin,5/15/2019 9:42,mouseover,3-Apr,10.22%,8357,OptionD-Sequin
4621,ChoiceCC_trial2_lb,4616,98.225.68.155,-1,OptionD-Sequin,5/15/2019 9:42,mouseout,3-Apr,,9225,OptionD-Sequin
4621,ChoiceCC_trial2_lb,4616,98.225.68.155,-1,OptionD-Sequin,5/15/2019 9:42,mouseover,1-Apr,13.69%,9241,OptionD-Sequin
4621,ChoiceCC_trial2_lb,4616,98.225.68.155,-1,OptionD-Sequin,5/15/2019 9:42,mouseout,1-Apr,,9873,OptionD-Sequin
4621,ChoiceCC_trial2_lb,4616,98.225.68.155,-1,OptionD-Sequin,5/15/2019 9:42,mouseover,2-Apr,9.99%,9874,OptionD-Sequin
4621,ChoiceCC_trial2_lb,4616,98.225.68.155,-1,OptionD-Sequin,5/15/2019 9:42,mouseout,2-Apr,,10508,OptionD-Sequin
4621,ChoiceCC_trial2_lb,4616,98.225.68.155,-1,OptionD-Sequin,5/15/2019 9:42,mouseover,4-Apr,14.00%,10508,OptionD-Sequin
4621,ChoiceCC_trial2_lb,4616,98.225.68.155,-1,OptionD-Sequin,5/15/2019 9:42,mouseout,4-Apr,,11308,OptionD-Sequin
4621,ChoiceCC_trial2_lb,4616,98.225.68.155,-1,OptionD-Sequin,5/15/2019 9:42,mouseover,AnnualFee 4,$0 ,11341,OptionD-Sequin
4621,ChoiceCC_trial2_lb,4616,98.225.68.155,-1,OptionD-Sequin,5/15/2019 9:42,mouseout,AnnualFee 4,,11990,OptionD-Sequin
4621,ChoiceCC_trial2_lb,4616,98.225.68.155,-1,OptionD-Sequin,5/15/2019 9:42,mouseover,AnnualFee 2,$95 ,12008,OptionD-Sequin
4621,ChoiceCC_trial2_lb,4616,98.225.68.155,-1,OptionD-Sequin,5/15/2019 9:42,mouseout,AnnualFee 2,,12741,OptionD-Sequin
4621,ChoiceCC_trial2_lb,4616,98.225.68.155,-1,OptionD-Sequin,5/15/2019 9:42,mouseover,AnnualFee 1,$95 ,12757,OptionD-Sequin
4621,ChoiceCC_trial2_lb,4616,98.225.68.155,-1,OptionD-Sequin,5/15/2019 9:42,mouseout,AnnualFee 1,,13407,OptionD-Sequin
4621,ChoiceCC_trial2_lb,4616,98.225.68.155,-1,OptionD-Sequin,5/15/2019 9:42,mouseover,AnnualFee 3,$95 ,13408,OptionD-Sequin
4621,ChoiceCC_trial2_lb,4616,98.225.68.155,-1,OptionD-Sequin,5/15/2019 9:42,mouseout,AnnualFee 3,,14107,OptionD-Sequin
4621,ChoiceCC_trial2_lb,4616,98.225.68.155,-1,OptionD-Sequin,5/15/2019 9:42,mouseover,AnnualFee 1,$95 ,14107,OptionD-Sequin
4621,ChoiceCC_trial2_lb,4616,98.225.68.155,-1,OptionD-Sequin,5/15/2019 9:42,mouseout,AnnualFee 1,,14157,OptionD-Sequin
4621,ChoiceCC_trial2_lb,4616,98.225.68.155,-1,OptionD-Sequin,5/15/2019 9:42,mouseover,AnnualFee 2,$95 ,14158,OptionD-Sequin
4621,ChoiceCC_trial2_lb,4616,98.225.68.155,-1,OptionD-Sequin,5/15/2019 9:42,mouseout,AnnualFee 2,,14224,OptionD-Sequin
4621,ChoiceCC_trial2_lb,4616,98.225.68.155,-1,OptionD-Sequin,5/15/2019 9:42,mouseover,AnnualFee 4,$0 ,14224,OptionD-Sequin
4621,ChoiceCC_trial2_lb,4616,98.225.68.155,-1,OptionD-Sequin,5/15/2019 9:42,mouseout,AnnualFee 4,,14724,OptionD-Sequin
4621,ChoiceCC_trial2_lb,4616,98.225.68.155,-1,OptionD-Sequin,5/15/2019 9:42,mouseover,4-Apr,14.00%,14724,OptionD-Sequin
