id,expname,subject,ip,condnum,choice,submitted,event,name,value,time,mlchoice
4657,ChoiceCC_trial2_lc,5395,63.115.156.16,-1,OptionB-Surge,5/15/2019 10:04,onload,body,body,355,OptionB-Surge
4657,ChoiceCC_trial2_lc,5395,63.115.156.16,-1,OptionB-Surge,5/15/2019 10:04,subject,random,10,366,OptionB-Surge
4657,ChoiceCC_trial2_lc,5395,63.115.156.16,-1,OptionB-Surge,5/15/2019 10:04,order,col,0_2_4_1_3,366,OptionB-Surge
4657,ChoiceCC_trial2_lc,5395,63.115.156.16,-1,OptionB-Surge,5/15/2019 10:04,order,row,0_1_2_3_4_5,366,OptionB-Surge
4657,ChoiceCC_trial2_lc,5395,63.115.156.16,-1,OptionB-Surge,5/15/2019 10:04,events,open_close,0_0,366,OptionB-Surge
4657,ChoiceCC_trial2_lc,5395,63.115.156.16,-1,OptionB-Surge,5/15/2019 10:04,mouseover,iPeriod 2,6 months,479,OptionB-Surge
4657,ChoiceCC_trial2_lc,5395,63.115.156.16,-1,OptionB-Surge,5/15/2019 10:04,mouseout,iPeriod 2,,977,OptionB-Surge
4657,ChoiceCC_trial2_lc,5395,63.115.156.16,-1,OptionB-Surge,5/15/2019 10:04,mouseover,2-Apr,9.99%,1010,OptionB-Surge
4657,ChoiceCC_trial2_lc,5395,63.115.156.16,-1,OptionB-Surge,5/15/2019 10:04,mouseout,2-Apr,,1085,OptionB-Surge
4657,ChoiceCC_trial2_lc,5395,63.115.156.16,-1,OptionB-Surge,5/15/2019 10:04,mouseover,AnnualFee 2,$95 ,1085,OptionB-Surge
4657,ChoiceCC_trial2_lc,5395,63.115.156.16,-1,OptionB-Surge,5/15/2019 10:04,mouseout,AnnualFee 2,,1198,OptionB-Surge
4657,ChoiceCC_trial2_lc,5395,63.115.156.16,-1,OptionB-Surge,5/15/2019 10:04,mouseover,OptionB-Surge,Surge,1677,OptionB-Surge
4657,ChoiceCC_trial2_lc,5395,63.115.156.16,-1,OptionB-Surge,5/15/2019 10:04,onclick,OptionB-Surge,Surge,2373,OptionB-Surge
4657,ChoiceCC_trial2_lc,5395,63.115.156.16,-1,OptionB-Surge,5/15/2019 10:04,mouseout,OptionB-Surge,Surge,2423,OptionB-Surge
4657,ChoiceCC_trial2_lc,5395,63.115.156.16,-1,OptionB-Surge,5/15/2019 10:04,mouseover,AnnualFee 2,$95 ,2455,OptionB-Surge
4657,ChoiceCC_trial2_lc,5395,63.115.156.16,-1,OptionB-Surge,5/15/2019 10:04,mouseout,AnnualFee 2,,2518,OptionB-Surge
4657,ChoiceCC_trial2_lc,5395,63.115.156.16,-1,OptionB-Surge,5/15/2019 10:04,mouseover,2-Apr,9.99%,2518,OptionB-Surge
4657,ChoiceCC_trial2_lc,5395,63.115.156.16,-1,OptionB-Surge,5/15/2019 10:04,mouseout,2-Apr,,2840,OptionB-Surge
4657,ChoiceCC_trial2_lc,5395,63.115.156.16,-1,OptionB-Surge,5/15/2019 10:04,mouseover,AnnualFee 2,$95 ,3028,OptionB-Surge
4657,ChoiceCC_trial2_lc,5395,63.115.156.16,-1,OptionB-Surge,5/15/2019 10:04,mouseout,AnnualFee 2,,3060,OptionB-Surge
4657,ChoiceCC_trial2_lc,5395,63.115.156.16,-1,OptionB-Surge,5/15/2019 10:04,submit,submit,submit,4082,OptionB-Surge
4657,ChoiceCC_trial2_lc,5395,63.115.156.16,-1,OptionB-Surge,5/15/2019 10:04,submit,submit,succeeded,4083,OptionB-Surge
4713,ChoiceCC_trial2_lc,5698,159.140.252.102,-1,OptionC-Midnight,5/15/2019 10:16,onload,body,body,252,OptionC-Midnight
4713,ChoiceCC_trial2_lc,5698,159.140.252.102,-1,OptionC-Midnight,5/15/2019 10:16,subject,random,11,265,OptionC-Midnight
4713,ChoiceCC_trial2_lc,5698,159.140.252.102,-1,OptionC-Midnight,5/15/2019 10:16,order,col,0_2_4_3_1,265,OptionC-Midnight
4713,ChoiceCC_trial2_lc,5698,159.140.252.102,-1,OptionC-Midnight,5/15/2019 10:16,order,row,0_1_2_3_4_5,265,OptionC-Midnight
4713,ChoiceCC_trial2_lc,5698,159.140.252.102,-1,OptionC-Midnight,5/15/2019 10:16,events,open_close,0_0,265,OptionC-Midnight
4713,ChoiceCC_trial2_lc,5698,159.140.252.102,-1,OptionC-Midnight,5/15/2019 10:16,mouseover,AnnualFee 2,$95 ,844,OptionC-Midnight
4713,ChoiceCC_trial2_lc,5698,159.140.252.102,-1,OptionC-Midnight,5/15/2019 10:16,mouseout,AnnualFee 2,,909,OptionC-Midnight
4713,ChoiceCC_trial2_lc,5698,159.140.252.102,-1,OptionC-Midnight,5/15/2019 10:16,mouseover,2-Apr,9.99%,909,OptionC-Midnight
4713,ChoiceCC_trial2_lc,5698,159.140.252.102,-1,OptionC-Midnight,5/15/2019 10:16,mouseout,2-Apr,,942,OptionC-Midnight
4713,ChoiceCC_trial2_lc,5698,159.140.252.102,-1,OptionC-Midnight,5/15/2019 10:16,mouseover,iPeriod 2,6 months,942,OptionC-Midnight
4713,ChoiceCC_trial2_lc,5698,159.140.252.102,-1,OptionC-Midnight,5/15/2019 10:16,mouseout,iPeriod 2,,975,OptionC-Midnight
4713,ChoiceCC_trial2_lc,5698,159.140.252.102,-1,OptionC-Midnight,5/15/2019 10:16,mouseover,iAPR 2,5%,975,OptionC-Midnight
4713,ChoiceCC_trial2_lc,5698,159.140.252.102,-1,OptionC-Midnight,5/15/2019 10:16,mouseout,iAPR 2,,1212,OptionC-Midnight
4713,ChoiceCC_trial2_lc,5698,159.140.252.102,-1,OptionC-Midnight,5/15/2019 10:16,mouseover,iAPR 2,5%,1441,OptionC-Midnight
4713,ChoiceCC_trial2_lc,5698,159.140.252.102,-1,OptionC-Midnight,5/15/2019 10:16,mouseout,iAPR 2,,1508,OptionC-Midnight
4713,ChoiceCC_trial2_lc,5698,159.140.252.102,-1,OptionC-Midnight,5/15/2019 10:16,mouseover,iPeriod 2,6 months,1591,OptionC-Midnight
4713,ChoiceCC_trial2_lc,5698,159.140.252.102,-1,OptionC-Midnight,5/15/2019 10:16,mouseout,iPeriod 2,,1690,OptionC-Midnight
4713,ChoiceCC_trial2_lc,5698,159.140.252.102,-1,OptionC-Midnight,5/15/2019 10:16,mouseover,2-Apr,9.99%,1691,OptionC-Midnight
4713,ChoiceCC_trial2_lc,5698,159.140.252.102,-1,OptionC-Midnight,5/15/2019 10:16,mouseout,2-Apr,,1973,OptionC-Midnight
4713,ChoiceCC_trial2_lc,5698,159.140.252.102,-1,OptionC-Midnight,5/15/2019 10:16,mouseover,iPeriod 2,6 months,1973,OptionC-Midnight
4713,ChoiceCC_trial2_lc,5698,159.140.252.102,-1,OptionC-Midnight,5/15/2019 10:16,mouseout,iPeriod 2,,2290,OptionC-Midnight
4713,ChoiceCC_trial2_lc,5698,159.140.252.102,-1,OptionC-Midnight,5/15/2019 10:16,mouseover,2-Apr,9.99%,2324,OptionC-Midnight
