id,expname,subject,ip,condnum,choice,submitted,event,name,value,time,mlchoice
4625,ChoiceCC_trial2_ld,7586,207.191.102.62,-1,OptionB-Sequin,5/15/2019 9:43,onload,body,body,240,OptionB-Sequin
4625,ChoiceCC_trial2_ld,7586,207.191.102.62,-1,OptionB-Sequin,5/15/2019 9:43,subject,random,14,250,OptionB-Sequin
4625,ChoiceCC_trial2_ld,7586,207.191.102.62,-1,OptionB-Sequin,5/15/2019 9:43,order,col,0_3_2_1_4,250,OptionB-Sequin
4625,ChoiceCC_trial2_ld,7586,207.191.102.62,-1,OptionB-Sequin,5/15/2019 9:43,order,row,0_1_2_3_4_5,250,OptionB-Sequin
4625,ChoiceCC_trial2_ld,7586,207.191.102.62,-1,OptionB-Sequin,5/15/2019 9:43,events,open_close,0_0,250,OptionB-Sequin
4625,ChoiceCC_trial2_ld,7586,207.191.102.62,-1,OptionB-Sequin,5/15/2019 9:43,mouseover,AnnualFee 3,$95 ,406,OptionB-Sequin
4625,ChoiceCC_trial2_ld,7586,207.191.102.62,-1,OptionB-Sequin,5/15/2019 9:43,mouseout,AnnualFee 3,,690,OptionB-Sequin
4625,ChoiceCC_trial2_ld,7586,207.191.102.62,-1,OptionB-Sequin,5/15/2019 9:43,mouseover,3-Apr,10.22%,706,OptionB-Sequin
4625,ChoiceCC_trial2_ld,7586,207.191.102.62,-1,OptionB-Sequin,5/15/2019 9:43,mouseout,3-Apr,,756,OptionB-Sequin
4625,ChoiceCC_trial2_ld,7586,207.191.102.62,-1,OptionB-Sequin,5/15/2019 9:43,mouseover,iPeriod 3,12 months,756,OptionB-Sequin
4625,ChoiceCC_trial2_ld,7586,207.191.102.62,-1,OptionB-Sequin,5/15/2019 9:43,mouseout,iPeriod 3,,1123,OptionB-Sequin
4625,ChoiceCC_trial2_ld,7586,207.191.102.62,-1,OptionB-Sequin,5/15/2019 9:43,mouseover,iAPR 3,5%,1139,OptionB-Sequin
4625,ChoiceCC_trial2_ld,7586,207.191.102.62,-1,OptionB-Sequin,5/15/2019 9:43,mouseout,iAPR 3,,1506,OptionB-Sequin
4625,ChoiceCC_trial2_ld,7586,207.191.102.62,-1,OptionB-Sequin,5/15/2019 9:43,mouseover,iAPR 2,5%,1506,OptionB-Sequin
4625,ChoiceCC_trial2_ld,7586,207.191.102.62,-1,OptionB-Sequin,5/15/2019 9:43,mouseout,iAPR 2,,1573,OptionB-Sequin
4625,ChoiceCC_trial2_ld,7586,207.191.102.62,-1,OptionB-Sequin,5/15/2019 9:43,mouseover,iAPR 1,0%,1589,OptionB-Sequin
4625,ChoiceCC_trial2_ld,7586,207.191.102.62,-1,OptionB-Sequin,5/15/2019 9:43,mouseout,iAPR 1,,1924,OptionB-Sequin
4625,ChoiceCC_trial2_ld,7586,207.191.102.62,-1,OptionB-Sequin,5/15/2019 9:43,mouseover,iPeriod 1,6 months,1924,OptionB-Sequin
4625,ChoiceCC_trial2_ld,7586,207.191.102.62,-1,OptionB-Sequin,5/15/2019 9:43,mouseout,iPeriod 1,,2262,OptionB-Sequin
4625,ChoiceCC_trial2_ld,7586,207.191.102.62,-1,OptionB-Sequin,5/15/2019 9:43,mouseover,1-Apr,13.69%,2289,OptionB-Sequin
4625,ChoiceCC_trial2_ld,7586,207.191.102.62,-1,OptionB-Sequin,5/15/2019 9:43,mouseout,1-Apr,,2406,OptionB-Sequin
4625,ChoiceCC_trial2_ld,7586,207.191.102.62,-1,OptionB-Sequin,5/15/2019 9:43,mouseover,AnnualFee 1,$95 ,2478,OptionB-Sequin
4625,ChoiceCC_trial2_ld,7586,207.191.102.62,-1,OptionB-Sequin,5/15/2019 9:43,mouseout,AnnualFee 1,,2686,OptionB-Sequin
4625,ChoiceCC_trial2_ld,7586,207.191.102.62,-1,OptionB-Sequin,5/15/2019 9:43,mouseover,1-Apr,13.69%,2694,OptionB-Sequin
4625,ChoiceCC_trial2_ld,7586,207.191.102.62,-1,OptionB-Sequin,5/15/2019 9:43,mouseout,1-Apr,,2806,OptionB-Sequin
4625,ChoiceCC_trial2_ld,7586,207.191.102.62,-1,OptionB-Sequin,5/15/2019 9:43,mouseover,iPeriod 1,6 months,2806,OptionB-Sequin
4625,ChoiceCC_trial2_ld,7586,207.191.102.62,-1,OptionB-Sequin,5/15/2019 9:43,mouseout,iPeriod 1,,2923,OptionB-Sequin
4625,ChoiceCC_trial2_ld,7586,207.191.102.62,-1,OptionB-Sequin,5/15/2019 9:43,mouseover,iAPR 1,0%,2940,OptionB-Sequin
4625,ChoiceCC_trial2_ld,7586,207.191.102.62,-1,OptionB-Sequin,5/15/2019 9:43,mouseout,iAPR 1,,3007,OptionB-Sequin
4625,ChoiceCC_trial2_ld,7586,207.191.102.62,-1,OptionB-Sequin,5/15/2019 9:43,mouseover,iAPR 4,0%,3007,OptionB-Sequin
4625,ChoiceCC_trial2_ld,7586,207.191.102.62,-1,OptionB-Sequin,5/15/2019 9:43,mouseout,iAPR 4,,3272,OptionB-Sequin
4625,ChoiceCC_trial2_ld,7586,207.191.102.62,-1,OptionB-Sequin,5/15/2019 9:43,mouseover,iAPR 1,0%,3289,OptionB-Sequin
4625,ChoiceCC_trial2_ld,7586,207.191.102.62,-1,OptionB-Sequin,5/15/2019 9:43,mouseout,iAPR 1,,3322,OptionB-Sequin
4625,ChoiceCC_trial2_ld,7586,207.191.102.62,-1,OptionB-Sequin,5/15/2019 9:43,mouseover,iAPR 2,5%,3322,OptionB-Sequin
4625,ChoiceCC_trial2_ld,7586,207.191.102.62,-1,OptionB-Sequin,5/15/2019 9:43,mouseout,iAPR 2,,3355,OptionB-Sequin
4625,ChoiceCC_trial2_ld,7586,207.191.102.62,-1,OptionB-Sequin,5/15/2019 9:43,mouseover,iAPR 3,5%,3355,OptionB-Sequin
4625,ChoiceCC_trial2_ld,7586,207.191.102.62,-1,OptionB-Sequin,5/15/2019 9:43,mouseout,iAPR 3,,3589,OptionB-Sequin
4625,ChoiceCC_trial2_ld,7586,207.191.102.62,-1,OptionB-Sequin,5/15/2019 9:43,mouseover,iAPR 2,5%,3689,OptionB-Sequin
4625,ChoiceCC_trial2_ld,7586,207.191.102.62,-1,OptionB-Sequin,5/15/2019 9:43,mouseout,iAPR 2,,3846,OptionB-Sequin
4625,ChoiceCC_trial2_ld,7586,207.191.102.62,-1,OptionB-Sequin,5/15/2019 9:43,mouseover,iPeriod 2,6 months,3998,OptionB-Sequin
4625,ChoiceCC_trial2_ld,7586,207.191.102.62,-1,OptionB-Sequin,5/15/2019 9:43,mouseout,iPeriod 2,,4390,OptionB-Sequin
4625,ChoiceCC_trial2_ld,7586,207.191.102.62,-1,OptionB-Sequin,5/15/2019 9:43,mouseover,iPeriod 1,6 months,4390,OptionB-Sequin
4625,ChoiceCC_trial2_ld,7586,207.191.102.62,-1,OptionB-Sequin,5/15/2019 9:43,mouseout,iPeriod 1,,4407,OptionB-Sequin
4625,ChoiceCC_trial2_ld,7586,207.191.102.62,-1,OptionB-Sequin,5/15/2019 9:43,mouseover,iPeriod4,2 months,4423,OptionB-Sequin
4625,ChoiceCC_trial2_ld,7586,207.191.102.62,-1,OptionB-Sequin,5/15/2019 9:43,mouseout,iPeriod4,,4872,OptionB-Sequin
