id,expname,subject,ip,condnum,choice,submitted,event,name,value,time,mlchoice
4612,ChoiceCC_trial2_ma,9676,128.59.199.242,-1,OptionD-Surge,5/15/2019 9:12,onload,body,body,132,OptionD-Surge
4612,ChoiceCC_trial2_ma,9676,128.59.199.242,-1,OptionD-Surge,5/15/2019 9:12,subject,random,19,141,OptionD-Surge
4612,ChoiceCC_trial2_ma,9676,128.59.199.242,-1,OptionD-Surge,5/15/2019 9:12,order,col,0_4_1_3_2,141,OptionD-Surge
4612,ChoiceCC_trial2_ma,9676,128.59.199.242,-1,OptionD-Surge,5/15/2019 9:12,order,row,0_1_2_3_4_5,141,OptionD-Surge
4612,ChoiceCC_trial2_ma,9676,128.59.199.242,-1,OptionD-Surge,5/15/2019 9:12,events,open_close,0_0,141,OptionD-Surge
4612,ChoiceCC_trial2_ma,9676,128.59.199.242,-1,OptionD-Surge,5/15/2019 9:12,mouseover,iAPR 4,0%,905,OptionD-Surge
4612,ChoiceCC_trial2_ma,9676,128.59.199.242,-1,OptionD-Surge,5/15/2019 9:12,mouseout,iAPR 4,,2461,OptionD-Surge
4612,ChoiceCC_trial2_ma,9676,128.59.199.242,-1,OptionD-Surge,5/15/2019 9:12,mouseover,iPeriod4,2 months,2491,OptionD-Surge
4612,ChoiceCC_trial2_ma,9676,128.59.199.242,-1,OptionD-Surge,5/15/2019 9:12,mouseout,iPeriod4,,3938,OptionD-Surge
4612,ChoiceCC_trial2_ma,9676,128.59.199.242,-1,OptionD-Surge,5/15/2019 9:12,mouseover,4-Apr,14.00%,3950,OptionD-Surge
4612,ChoiceCC_trial2_ma,9676,128.59.199.242,-1,OptionD-Surge,5/15/2019 9:12,mouseout,4-Apr,,3987,OptionD-Surge
4612,ChoiceCC_trial2_ma,9676,128.59.199.242,-1,OptionD-Surge,5/15/2019 9:12,mouseover,AnnualFee 4,$0 ,3989,OptionD-Surge
4612,ChoiceCC_trial2_ma,9676,128.59.199.242,-1,OptionD-Surge,5/15/2019 9:12,mouseout,AnnualFee 4,,4019,OptionD-Surge
4612,ChoiceCC_trial2_ma,9676,128.59.199.242,-1,OptionD-Surge,5/15/2019 9:12,mouseover,OptionD-Surge,Surge,4404,OptionD-Surge
4612,ChoiceCC_trial2_ma,9676,128.59.199.242,-1,OptionD-Surge,5/15/2019 9:12,onclick,OptionD-Surge,Surge,4639,OptionD-Surge
4612,ChoiceCC_trial2_ma,9676,128.59.199.242,-1,OptionD-Surge,5/15/2019 9:12,mouseout,OptionD-Surge,Surge,5750,OptionD-Surge
4612,ChoiceCC_trial2_ma,9676,128.59.199.242,-1,OptionD-Surge,5/15/2019 9:12,submit,submit,submit,5628,OptionD-Surge
4612,ChoiceCC_trial2_ma,9676,128.59.199.242,-1,OptionD-Surge,5/15/2019 9:12,submit,submit,succeeded,5629,OptionD-Surge
4631,ChoiceCC_trial2_ma,4619,24.158.1.174,-1,OptionC-Sequin,5/15/2019 9:51,onload,body,body,399,OptionC-Sequin
4631,ChoiceCC_trial2_ma,4619,24.158.1.174,-1,OptionC-Sequin,5/15/2019 9:51,subject,random,13,436,OptionC-Sequin
4631,ChoiceCC_trial2_ma,4619,24.158.1.174,-1,OptionC-Sequin,5/15/2019 9:51,order,col,0_3_1_4_2,436,OptionC-Sequin
4631,ChoiceCC_trial2_ma,4619,24.158.1.174,-1,OptionC-Sequin,5/15/2019 9:51,order,row,0_1_2_3_4_5,436,OptionC-Sequin
4631,ChoiceCC_trial2_ma,4619,24.158.1.174,-1,OptionC-Sequin,5/15/2019 9:51,events,open_close,0_0,436,OptionC-Sequin
4631,ChoiceCC_trial2_ma,4619,24.158.1.174,-1,OptionC-Sequin,5/15/2019 9:51,mouseover,AnnualFee 4,$0 ,971,OptionC-Sequin
