id,expname,subject,ip,condnum,choice,submitted,event,name,value,time,mlchoice
4634,ChoiceCC_trial2_mb,3346,73.236.186.252,-1,OptionA-Surge,5/15/2019 9:52,onload,body,body,429,OptionA-Surge
4634,ChoiceCC_trial2_mb,3346,73.236.186.252,-1,OptionA-Surge,5/15/2019 9:52,subject,random,13,448,OptionA-Surge
4634,ChoiceCC_trial2_mb,3346,73.236.186.252,-1,OptionA-Surge,5/15/2019 9:52,order,col,0_3_1_4_2,448,OptionA-Surge
4634,ChoiceCC_trial2_mb,3346,73.236.186.252,-1,OptionA-Surge,5/15/2019 9:52,order,row,0_1_2_3_4_5,448,OptionA-Surge
4634,ChoiceCC_trial2_mb,3346,73.236.186.252,-1,OptionA-Surge,5/15/2019 9:52,events,open_close,0_0,448,OptionA-Surge
4634,ChoiceCC_trial2_mb,3346,73.236.186.252,-1,OptionA-Surge,5/15/2019 9:52,mouseover,AnnualFee 3,$95 ,7687,OptionA-Surge
4634,ChoiceCC_trial2_mb,3346,73.236.186.252,-1,OptionA-Surge,5/15/2019 9:52,mouseout,AnnualFee 3,,7737,OptionA-Surge
4634,ChoiceCC_trial2_mb,3346,73.236.186.252,-1,OptionA-Surge,5/15/2019 9:52,mouseover,3-Apr,10.22%,7737,OptionA-Surge
4634,ChoiceCC_trial2_mb,3346,73.236.186.252,-1,OptionA-Surge,5/15/2019 9:52,mouseout,3-Apr,,8070,OptionA-Surge
4634,ChoiceCC_trial2_mb,3346,73.236.186.252,-1,OptionA-Surge,5/15/2019 9:52,mouseover,iPeriod 3,12 months,8070,OptionA-Surge
4634,ChoiceCC_trial2_mb,3346,73.236.186.252,-1,OptionA-Surge,5/15/2019 9:52,mouseout,iPeriod 3,,8203,OptionA-Surge
4634,ChoiceCC_trial2_mb,3346,73.236.186.252,-1,OptionA-Surge,5/15/2019 9:52,mouseover,iAPR 3,5%,8254,OptionA-Surge
4634,ChoiceCC_trial2_mb,3346,73.236.186.252,-1,OptionA-Surge,5/15/2019 9:52,mouseout,iAPR 3,,10470,OptionA-Surge
4634,ChoiceCC_trial2_mb,3346,73.236.186.252,-1,OptionA-Surge,5/15/2019 9:52,mouseover,iAPR 1,0%,10488,OptionA-Surge
4634,ChoiceCC_trial2_mb,3346,73.236.186.252,-1,OptionA-Surge,5/15/2019 9:52,mouseout,iAPR 1,,12393,OptionA-Surge
4634,ChoiceCC_trial2_mb,3346,73.236.186.252,-1,OptionA-Surge,5/15/2019 9:52,mouseover,iAPR 4,0%,12470,OptionA-Surge
4634,ChoiceCC_trial2_mb,3346,73.236.186.252,-1,OptionA-Surge,5/15/2019 9:52,mouseout,iAPR 4,,13989,OptionA-Surge
4634,ChoiceCC_trial2_mb,3346,73.236.186.252,-1,OptionA-Surge,5/15/2019 9:52,mouseover,iAPR 2,5%,13990,OptionA-Surge
4634,ChoiceCC_trial2_mb,3346,73.236.186.252,-1,OptionA-Surge,5/15/2019 9:52,mouseout,iAPR 2,,16203,OptionA-Surge
4634,ChoiceCC_trial2_mb,3346,73.236.186.252,-1,OptionA-Surge,5/15/2019 9:52,mouseover,iAPR 4,0%,16221,OptionA-Surge
4634,ChoiceCC_trial2_mb,3346,73.236.186.252,-1,OptionA-Surge,5/15/2019 9:52,mouseout,iAPR 4,,17120,OptionA-Surge
4634,ChoiceCC_trial2_mb,3346,73.236.186.252,-1,OptionA-Surge,5/15/2019 9:52,mouseover,iPeriod4,2 months,17137,OptionA-Surge
4634,ChoiceCC_trial2_mb,3346,73.236.186.252,-1,OptionA-Surge,5/15/2019 9:52,mouseout,iPeriod4,,18324,OptionA-Surge
4634,ChoiceCC_trial2_mb,3346,73.236.186.252,-1,OptionA-Surge,5/15/2019 9:52,mouseover,4-Apr,14.00%,18337,OptionA-Surge
4634,ChoiceCC_trial2_mb,3346,73.236.186.252,-1,OptionA-Surge,5/15/2019 9:52,mouseout,4-Apr,,18403,OptionA-Surge
4634,ChoiceCC_trial2_mb,3346,73.236.186.252,-1,OptionA-Surge,5/15/2019 9:52,mouseover,AnnualFee 4,$0 ,18419,OptionA-Surge
4634,ChoiceCC_trial2_mb,3346,73.236.186.252,-1,OptionA-Surge,5/15/2019 9:52,mouseout,AnnualFee 4,,18469,OptionA-Surge
4634,ChoiceCC_trial2_mb,3346,73.236.186.252,-1,OptionA-Surge,5/15/2019 9:52,mouseover,4-Apr,14.00%,18486,OptionA-Surge
4634,ChoiceCC_trial2_mb,3346,73.236.186.252,-1,OptionA-Surge,5/15/2019 9:52,mouseout,4-Apr,,18770,OptionA-Surge
4634,ChoiceCC_trial2_mb,3346,73.236.186.252,-1,OptionA-Surge,5/15/2019 9:52,mouseover,AnnualFee 4,$0 ,18803,OptionA-Surge
4634,ChoiceCC_trial2_mb,3346,73.236.186.252,-1,OptionA-Surge,5/15/2019 9:52,mouseout,AnnualFee 4,,18970,OptionA-Surge
4634,ChoiceCC_trial2_mb,3346,73.236.186.252,-1,OptionA-Surge,5/15/2019 9:52,mouseover,OptionA-Surge,Surge,19355,OptionA-Surge
4634,ChoiceCC_trial2_mb,3346,73.236.186.252,-1,OptionA-Surge,5/15/2019 9:52,onclick,OptionA-Surge,Surge,20076,OptionA-Surge
4634,ChoiceCC_trial2_mb,3346,73.236.186.252,-1,OptionA-Surge,5/15/2019 9:52,mouseout,OptionA-Surge,Surge,21486,OptionA-Surge
4634,ChoiceCC_trial2_mb,3346,73.236.186.252,-1,OptionA-Surge,5/15/2019 9:52,submit,submit,submit,21904,OptionA-Surge
4634,ChoiceCC_trial2_mb,3346,73.236.186.252,-1,OptionA-Surge,5/15/2019 9:52,submit,submit,succeeded,21907,OptionA-Surge
