id,expname,subject,ip,condnum,choice,submitted,event,name,value,time,mlchoice
4692,ChoiceCC_trial2_md,7076,98.212.221.86,-1,OptionA-Polaris,5/15/2019 10:11,onload,body,body,318,OptionA-Polaris
4692,ChoiceCC_trial2_md,7076,98.212.221.86,-1,OptionA-Polaris,5/15/2019 10:11,subject,random,11,336,OptionA-Polaris
4692,ChoiceCC_trial2_md,7076,98.212.221.86,-1,OptionA-Polaris,5/15/2019 10:11,order,col,0_2_4_3_1,336,OptionA-Polaris
4692,ChoiceCC_trial2_md,7076,98.212.221.86,-1,OptionA-Polaris,5/15/2019 10:11,order,row,0_1_2_3_4_5,336,OptionA-Polaris
4692,ChoiceCC_trial2_md,7076,98.212.221.86,-1,OptionA-Polaris,5/15/2019 10:11,events,open_close,0_0,336,OptionA-Polaris
4692,ChoiceCC_trial2_md,7076,98.212.221.86,-1,OptionA-Polaris,5/15/2019 10:11,mouseover,OptionB-Sequin,Sequin,1397,OptionA-Polaris
4692,ChoiceCC_trial2_md,7076,98.212.221.86,-1,OptionA-Polaris,5/15/2019 10:11,mouseout,OptionB-Sequin,Sequin,2412,OptionA-Polaris
4692,ChoiceCC_trial2_md,7076,98.212.221.86,-1,OptionA-Polaris,5/15/2019 10:11,mouseover,iAPR 2,5%,3520,OptionA-Polaris
4692,ChoiceCC_trial2_md,7076,98.212.221.86,-1,OptionA-Polaris,5/15/2019 10:11,mouseout,iAPR 2,,4851,OptionA-Polaris
4692,ChoiceCC_trial2_md,7076,98.212.221.86,-1,OptionA-Polaris,5/15/2019 10:11,mouseover,iAPR 4,0%,4865,OptionA-Polaris
4692,ChoiceCC_trial2_md,7076,98.212.221.86,-1,OptionA-Polaris,5/15/2019 10:11,mouseout,iAPR 4,,6146,OptionA-Polaris
4692,ChoiceCC_trial2_md,7076,98.212.221.86,-1,OptionA-Polaris,5/15/2019 10:11,mouseover,iAPR 3,5%,6147,OptionA-Polaris
4692,ChoiceCC_trial2_md,7076,98.212.221.86,-1,OptionA-Polaris,5/15/2019 10:11,mouseout,iAPR 3,,7454,OptionA-Polaris
4692,ChoiceCC_trial2_md,7076,98.212.221.86,-1,OptionA-Polaris,5/15/2019 10:11,mouseover,iAPR 1,0%,7454,OptionA-Polaris
4692,ChoiceCC_trial2_md,7076,98.212.221.86,-1,OptionA-Polaris,5/15/2019 10:11,mouseout,iAPR 1,,8813,OptionA-Polaris
4692,ChoiceCC_trial2_md,7076,98.212.221.86,-1,OptionA-Polaris,5/15/2019 10:11,mouseover,iAPR 3,5%,8813,OptionA-Polaris
4692,ChoiceCC_trial2_md,7076,98.212.221.86,-1,OptionA-Polaris,5/15/2019 10:11,mouseout,iAPR 3,,8945,OptionA-Polaris
4692,ChoiceCC_trial2_md,7076,98.212.221.86,-1,OptionA-Polaris,5/15/2019 10:11,mouseover,iAPR 4,0%,8945,OptionA-Polaris
4692,ChoiceCC_trial2_md,7076,98.212.221.86,-1,OptionA-Polaris,5/15/2019 10:11,mouseout,iAPR 4,,9100,OptionA-Polaris
4692,ChoiceCC_trial2_md,7076,98.212.221.86,-1,OptionA-Polaris,5/15/2019 10:11,mouseover,iPeriod4,2 months,9101,OptionA-Polaris
4692,ChoiceCC_trial2_md,7076,98.212.221.86,-1,OptionA-Polaris,5/15/2019 10:11,mouseout,iPeriod4,,10427,OptionA-Polaris
4692,ChoiceCC_trial2_md,7076,98.212.221.86,-1,OptionA-Polaris,5/15/2019 10:11,mouseover,iPeriod 3,12 months,10427,OptionA-Polaris
4692,ChoiceCC_trial2_md,7076,98.212.221.86,-1,OptionA-Polaris,5/15/2019 10:11,mouseout,iPeriod 3,,10534,OptionA-Polaris
4692,ChoiceCC_trial2_md,7076,98.212.221.86,-1,OptionA-Polaris,5/15/2019 10:11,mouseover,iPeriod 1,6 months,10547,OptionA-Polaris
