V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,path,Q99,DEEPTIME12,Mathbyhand,Nomath,Calculator,Spreadsheet,Mathinhead,Otherapp,totalhelp,Q94_1,Q94_3,Q94_4,Q94_5,Q94_6,Q96_1,Q98_1,bag,Q44,lowgal,Q45,avail,lossav_1,lossav_2,lossav_3,lossav_4,lossav_5,lossav_6,lossav_7,halfway,flugain,fluloss,discmo_1,discmo_2,discmo_3,discmo_4,discmo_5,discmo_6,discmo_7,discmo_8,discmo_9,Q46_1,Q46_2,Q46_3,Q46_4,Q46_5,Q46_6,Q46_7,Q46_8,Q46_9,discyr_1,discyr_2,discyr_3,discyr_4,discyr_5,discyr_6,discyr_7,discyr_8,discyr_9,discdec_1,discdec_2,discdec_3,discdec_4,discdec_5,discdec_6,discdec_7,discdec_8,discdec_9,hidiscmo_1,hidiscmo_2,hidiscmo_3,hidiscmo_4,hidiscmo_5,hidiscmo_6,hidiscmo_7,hidiscmo_8,hidiscmo_9,hidiscyr_1,hidiscyr_2,hidiscyr_3,hidiscyr_4,hidiscyr_5,hidiscyr_6,hidiscyr_7,hidiscyr_8,hidiscyr_9,hidiscdec_1,hidiscdec_2,hidiscdec_3,hidiscdec_4,hidiscdec_5,hidiscdec_6,hidiscdec_7,hidiscdec_8,hidiscdec_9,lastpage,discbonus,discfee,pd_offer,pd_accept,ClassPerf,Q100,Q38,Q39,Q42,Q102,Q104,Q106_3,Q40,LocationLatitude,LocationLongitude,LocationAccuracy,StartDate,EndDate,IPAddress,betaunshrunken,deltaunshrunken,,beta_unskew,beta,dailyrate,annualfactor,id_prevmerge,expname.1_prevmerge,ip.1_prevmerge,boxesopened_prevmerge,numopened_prevmerge,id2_prevmerge,searchtime_prevmerge,trial_prevmerge,sqrtboxopen_prevmerge,correct_prevmerge,logsearchtime_prevmerge,sqrtsearchtime_prevmerge,searchtime_withoutliers_prevmerge,ipaddress,serial,new_beta,new_r,new_delta
R_1erZPChLvIYPlIB,Default Response Set,Anonymous,,,100.12.223.230,0,1/28/2019 15:23,1/28/2019 15:31,1,B,1,"[{},{""id"":0,""beta"":0.8,""discountRate"":0.008,""choice"":1,""answer"":2,""responseTime"":3.691},{""id"":524288,""beta"":1.058589,""discountRate"":0,""choice"":0,""answer"":1,""responseTime"":3.863},{""id"":524289,""beta"":0.8798351,""discountRate"":0.002765065,""choice"":1,""answer"":2,""responseTime"":3.314},{""id"":655361,""beta"":1.42172,""discountRate"":0.008094475,""choice"":1,""answer"":2,""responseTime"":2.949},{""id"":720897,""beta"":1.054489,""discountRate"":0.0028856420000000003,""choice"":1,""answer"":2,""responseTime"":5.705},{""id"":753665,""beta"":1.263781,""discountRate"":0.0039397899999999994,""choice"":0,""answer"":1,""responseTime"":2.879},{""id"":753666,""beta"":1.069805,""discountRate"":0.0029520650000000002,""choice"":1,""answer"":2,""responseTime"":4.047},{""id"":761858,""beta"":1.007984,""discountRate"":0.0002829356,""choice"":0,""answer"":1,""responseTime"":2.906},{""id"":761859,""beta"":1.0274130000000001,""discountRate"":0.001067634,""choice"":0,""answer"":1,""responseTime"":3.74},{""id"":761860,""beta"":0.9666433,""discountRate"":0.000445235,""choice"":0,""answer"":1,""responseTime"":2.947},{""id"":761861,""beta"":0.9788861,""discountRate"":0.0009706331,""choice"":1,""answer"":2,""responseTime"":4.422},{""id"":762373,""beta"":0.9979505000000001,""discountRate"":0.001221908,""choice"":0,""answer"":1,""responseTime"":2.865},{""id"":762374,""beta"":1.00553,""discountRate"":0.001570744}]",1,,,,,,0,0,0,0,0,100,4,4,,3500,,3250,5,1,0,0,0,0,0,0,1,,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,,50,500,1,6,1,770,3.7,1,1,5,8,1,40.77639771,-73.98269653,-1,"Monday, January 28, 2019","Monday, January 28, 2019",100.12.223.230,1.00553,0.001570744,0.023163414,0.152195316,0.976836586,0.000658667,0.819439981,2314,ChoiceCC_o4,100.12.223.230,34,34,2314,24.939,1,5.830951895,0,1.396879035,4.993896274,24.939,100.12.223.230,1,0.96978005,0.001170835,0.684748736
R_eh48Xi2zvnu9f4R,Default Response Set,Anonymous,,,100.2.99.158,0,1/28/2019 13:53,1/28/2019 14:02,1,B,1,"[{},{""id"":0,""beta"":0.8,""discountRate"":0.008,""choice"":0,""answer"":1,""responseTime"":10.116},{""id"":1,""beta"":0.6703449,""discountRate"":0.05,""choice"":1,""answer"":2,""responseTime"":3.489},{""id"":262145,""beta"":1.5467129999999998,""discountRate"":0.04999005,""choice"":1,""answer"":2,""responseTime"":3.176},{""id"":393217,""beta"":2,""discountRate"":0.03338353,""choice"":0,""answer"":1,""responseTime"":2.816},{""id"":393218,""beta"":0.7481733,""discountRate"":0.01357616,""choice"":0,""answer"":1,""responseTime"":2.701},{""id"":393219,""beta"":0.8407138000000001,""discountRate"":0.02041512,""choice"":0,""answer"":1,""responseTime"":2.482},{""id"":393220,""beta"":0.7818267,""discountRate"":0.01952148,""choice"":1,""answer"":2,""responseTime"":2.651},{""id"":401412,""beta"":0.7507507000000001,""discountRate"":0.01580845,""choice"":0,""answer"":1,""responseTime"":2.348},{""id"":401413,""beta"":0.5883908,""discountRate"":0.01470615,""choice"":0,""answer"":1,""responseTime"":2.085},{""id"":401414,""beta"":0.5009598000000001,""discountRate"":0.01278925,""choice"":0,""answer"":1,""responseTime"":2.002},{""id"":401415,""beta"":0.4268328,""discountRate"":0.01112459,""choice"":0,""answer"":1,""responseTime"":2.661},{""id"":401416,""beta"":0.4421268,""discountRate"":0.01304623,""choice"":0,""answer"":1,""responseTime"":2.033},{""id"":401417,""beta"":0.3808334,""discountRate"":0.012202039999999999}]",,,,,1,,0,1,17,0,31,51,5,5,,3500,,799.5,1,1,1,1,1,1,1,0,1,,2,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,,1,500,450,3,1,720,3.78,2,1,5,8,1,40.79750061,-73.96829987,-1,"Monday, January 28, 2019","Monday, January 28, 2019",100.2.99.158,0.3808334,0.01220204,0.274239447,0.523678764,0.725760553,0.006968754,0.324092693,2282,ChoiceCC,100.2.99.158,52,52,2282,137.775,1,7.211102551,0,2.13917042,11.73775958,137.775,100.2.99.158,2,0.889376515,0.004293487,0.41989739
R_1kXMUegdRgcbwEJ,Default Response Set,Anonymous,,,100.33.104.131,0,1/21/2019 10:30,1/21/2019 10:51,1,A,1,"[{},{""id"":0,""beta"":0.8,""discountRate"":0.008,""choice"":1,""answer"":2,""responseTime"":4.453},{""id"":524288,""beta"":1.058589,""discountRate"":0,""choice"":0,""answer"":1,""responseTime"":8.389},{""id"":524289,""beta"":0.8798351,""discountRate"":0.002765065,""choice"":1,""answer"":2,""responseTime"":3.813},{""id"":655361,""beta"":1.42172,""discountRate"":0.008094475,""choice"":1,""answer"":2,""responseTime"":3.429},{""id"":720897,""beta"":1.054489,""discountRate"":0.0028856420000000003,""choice"":1,""answer"":2,""responseTime"":6.723},{""id"":753665,""beta"":1.263781,""discountRate"":0.0039397899999999994,""choice"":1,""answer"":2,""responseTime"":4.862},{""id"":770049,""beta"":1.3271870000000001,""discountRate"":0.004239921,""choice"":0,""answer"":1,""responseTime"":5.016},{""id"":770050,""beta"":1.311579,""discountRate"":0.0045933929999999994,""choice"":0,""answer"":1,""responseTime"":27.698},{""id"":770051,""beta"":1.1506189999999998,""discountRate"":0.0037606009999999997,""choice"":0,""answer"":1,""responseTime"":3.006},{""id"":770052,""beta"":1.156168,""discountRate"":0.004056906,""choice"":0,""answer"":1,""responseTime"":3.09},{""id"":770053,""beta"":1.095825,""discountRate"":0.0037266879999999997,""choice"":1,""answer"":2,""responseTime"":3.525},{""id"":770565,""beta"":1.040781,""discountRate"":0.001572804,""choice"":1,""answer"":2,""responseTime"":2.816},{""id"":770821,""beta"":1.084562,""discountRate"":0.002000409}]",,,,,1,,0,0,21,19,51,9,8,7,1049.5,,3250,,4,1,1,1,1,1,0,0,1,1,,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,20,,500,500,3,1,760,3.8,1,1,5,8,1,40.67900085,-73.96440125,-1,"Monday, January 21, 2019","Monday, January 21, 2019",100.33.104.131,1.084562,0.002000409,0.016656665,0.129060704,0.983343335,0.000523765,0.864972037,1871,ChoiceCC_o3,100.33.104.131,55,55,1871,58.949,1,7.416198487,0,1.770476442,7.677825213,58.949,100.33.104.131,3,1.011398659,0.000832914,0.750337071
R_3KPWKze3I9of0EH,Default Response Set,Anonymous,,,100.38.248.181,0,1/26/2019 15:56,1/26/2019 16:14,1,A,1,"[{},{""id"":0,""beta"":0.8,""discountRate"":0.008,""choice"":1,""answer"":2,""responseTime"":8.796},{""id"":524288,""beta"":1.058589,""discountRate"":0,""choice"":0,""answer"":1,""responseTime"":6.107},{""id"":524289,""beta"":0.8798351,""discountRate"":0.002765065,""choice"":1,""answer"":2,""responseTime"":6.729},{""id"":655361,""beta"":1.42172,""discountRate"":0.008094475,""choice"":1,""answer"":2,""responseTime"":10.612},{""id"":720897,""beta"":1.054489,""discountRate"":0.0028856420000000003,""choice"":0,""answer"":1,""responseTime"":3.984},{""id"":720898,""beta"":0.9542596000000001,""discountRate"":0.0027734829999999998,""choice"":1,""answer"":2,""responseTime"":4.331},{""id"":737282,""beta"":0.9499832,""discountRate"":0.002062593,""choice"":0,""answer"":1,""responseTime"":2.811},{""id"":737283,""beta"":0.8234904,""discountRate"":0.0003973051,""choice"":0,""answer"":1,""responseTime"":9.993},{""id"":737284,""beta"":0.8303126,""discountRate"":0.0016411000000000002,""choice"":1,""answer"":2,""responseTime"":3.779},{""id"":739332,""beta"":0.8767039,""discountRate"":0.002207189,""choice"":1,""answer"":2,""responseTime"":5.159},{""id"":740356,""beta"":0.9054093,""discountRate"":0.00253871,""choice"":1,""answer"":2,""responseTime"":3.633},{""id"":740868,""beta"":0.9012683,""discountRate"":0.0018118199999999998,""choice"":1,""answer"":2,""responseTime"":4.394},{""id"":741124,""beta"":0.9208447999999999,""discountRate"":0.0020501300000000003}]",1,,,,,,0,1,19,18,47,15,4,3,1399.5,,2749.5,,3,1,1,1,1,1,0,0,1,1,,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,100,,501,200,2,1,700,3.7,2,1,5,8,1,40.69400024,-73.99030304,-1,"Saturday, January 26, 2019","Saturday, January 26, 2019",100.38.248.181,0.9208448,0.00205013,0.073547744,0.271196872,0.926452256,0.001846849,0.577361342,2104,ChoiceCC_o2,100.38.248.181,82,82,2104,112.965,1,9.055385138,0,2.052943907,10.62849942,112.965,100.38.248.181,4,0.901071754,0.001939672,0.567278407
R_ehx8cFHTuKlCjE5,Default Response Set,Anonymous,,,108.14.86.153,0,1/27/2019 20:27,1/27/2019 20:45,1,B,1,"[{},{""id"":0,""beta"":0.8,""discountRate"":0.008,""choice"":1,""answer"":2,""responseTime"":9.287},{""id"":524288,""beta"":1.058589,""discountRate"":0,""choice"":0,""answer"":1,""responseTime"":7.924},{""id"":524289,""beta"":0.8798351,""discountRate"":0.002765065,""choice"":1,""answer"":2,""responseTime"":5.969},{""id"":655361,""beta"":1.42172,""discountRate"":0.008094475,""choice"":1,""answer"":2,""responseTime"":5.537},{""id"":720897,""beta"":1.054489,""discountRate"":0.0028856420000000003,""choice"":0,""answer"":1,""responseTime"":19.244},{""id"":720898,""beta"":0.9542596000000001,""discountRate"":0.0027734829999999998,""choice"":1,""answer"":2,""responseTime"":2.648},{""id"":737282,""beta"":0.9499832,""discountRate"":0.002062593,""choice"":1,""answer"":2,""responseTime"":4.259},{""id"":745474,""beta"":0.9890051,""discountRate"":0.002527052,""choice"":1,""answer"":2,""responseTime"":11.92},{""id"":749570,""beta"":0.9755389,""discountRate"":0.0012875640000000002,""choice"":0,""answer"":1,""responseTime"":3.856},{""id"":749571,""beta"":0.9822664,""discountRate"":0.001837015,""choice"":1,""answer"":2,""responseTime"":6.732},{""id"":750595,""beta"":1.008024,""discountRate"":0.002114382,""choice"":0,""answer"":1,""responseTime"":7.757},{""id"":750596,""beta"":1.011687,""discountRate"":0.002422285,""choice"":1,""answer"":2,""responseTime"":4.887},{""id"":750852,""beta"":1.027059,""discountRate"":0.002599575}]",,,,,1,,0,0,25,25,25,25,6,4,,1049.5,,3250,5,1,1,1,1,1,0,0,1,,2,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,,20,500,1,6,1,730,3.3,1,1,5,8,1,40.78199768,-73.99530029,-1,"Sunday, January 27, 2019","Sunday, January 27, 2019",108.14.86.153,1.027059,0.002599575,0.043807333,0.209302015,0.956192667,0.000927819,0.7379094,2176,ChoiceCC_o3,108.14.86.153,144,144,2176,116.616,1,12,0,2.066758141,10.79888883,116.616,108.14.86.153,5,0.9475358,0.000929362,0.749023735
R_2uVUQUQm2BuKB44,Default Response Set,Anonymous,,,108.176.152.226,0,1/21/2019 7:11,1/21/2019 7:19,1,B,1,"[{},{""id"":0,""beta"":0.8,""discountRate"":0.008,""choice"":1,""answer"":2,""responseTime"":7.868},{""id"":524288,""beta"":1.058589,""discountRate"":0,""choice"":0,""answer"":1,""responseTime"":6.741},{""id"":524289,""beta"":0.8798351,""discountRate"":0.002765065,""choice"":1,""answer"":2,""responseTime"":2.565},{""id"":655361,""beta"":1.42172,""discountRate"":0.008094475,""choice"":1,""answer"":2,""responseTime"":3.988},{""id"":720897,""beta"":1.054489,""discountRate"":0.0028856420000000003,""choice"":0,""answer"":1,""responseTime"":3.591},{""id"":720898,""beta"":0.9542596000000001,""discountRate"":0.0027734829999999998,""choice"":1,""answer"":2,""responseTime"":2.974},{""id"":737282,""beta"":0.9499832,""discountRate"":0.002062593,""choice"":1,""answer"":2,""responseTime"":3.717},{""id"":745474,""beta"":0.9890051,""discountRate"":0.002527052,""choice"":1,""answer"":2,""responseTime"":8.828},{""id"":749570,""beta"":0.9755389,""discountRate"":0.0012875640000000002,""choice"":0,""answer"":1,""responseTime"":4.327},{""id"":749571,""beta"":0.9822664,""discountRate"":0.001837015,""choice"":1,""answer"":2,""responseTime"":5.426},{""id"":750595,""beta"":1.008024,""discountRate"":0.002114382,""choice"":0,""answer"":1,""responseTime"":3.114},{""id"":750596,""beta"":1.011687,""discountRate"":0.002422285,""choice"":1,""answer"":2,""responseTime"":3.352},{""id"":750852,""beta"":1.027059,""discountRate"":0.002599575}]",1,,,,,,0,0,17,19,33,31,1,1,,599.5,,599.5,1,1,1,1,1,1,0,0,1,,2,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,,5,501,400,5,1,750,3.3,1,1,5,8,1,40.6006012,-73.75800323,-1,"Monday, January 21, 2019","Monday, January 21, 2019",108.176.152.226,1.027059,0.002599575,0.039050675,0.197612437,0.960949325,0.001026282,0.716938739,1846,ChoiceCC,108.176.152.226,25,25,1846,44.085,1,5,0,1.644290845,6.639653605,44.085,108.176.152.226,6,0.955885141,0.001272559,0.656223624
R_1F5MpMxZElivn3c,Default Response Set,Anonymous,,,108.30.197.247,0,1/27/2019 14:22,1/27/2019 14:45,1,B,1,"[{},{""id"":0,""beta"":0.8,""discountRate"":0.008,""choice"":1,""answer"":2,""responseTime"":39.958},{""id"":524288,""beta"":1.058589,""discountRate"":0,""choice"":0,""answer"":1,""responseTime"":8.256},{""id"":524289,""beta"":0.8798351,""discountRate"":0.002765065,""choice"":1,""answer"":2,""responseTime"":38.515},{""id"":655361,""beta"":1.42172,""discountRate"":0.008094475,""choice"":0,""answer"":1,""responseTime"":15.852},{""id"":655362,""beta"":1.963486,""discountRate"":0.01178107,""choice"":0,""answer"":1,""responseTime"":26.369},{""id"":655363,""beta"":0.9370147,""discountRate"":0.008365282,""choice"":0,""answer"":1,""responseTime"":21.147},{""id"":655364,""beta"":0.9438885,""discountRate"":0.009831006,""choice"":0,""answer"":1,""responseTime"":26.618},{""id"":655365,""beta"":0.8674555,""discountRate"":0.009000026,""choice"":1,""answer"":2,""responseTime"":14.207},{""id"":659461,""beta"":0.8632877999999999,""discountRate"":0.00771782,""choice"":1,""answer"":2,""responseTime"":18.111},{""id"":661509,""beta"":0.9022732000000001,""discountRate"":0.008128053,""choice"":1,""answer"":2,""responseTime"":8.364},{""id"":662533,""beta"":0.8993447999999999,""discountRate"":0.007379747999999999,""choice"":0,""answer"":1,""responseTime"":6.023},{""id"":662534,""beta"":0.8622711,""discountRate"":0.006985385,""choice"":1,""answer"":2,""responseTime"":11.281},{""id"":662790,""beta"":0.8875757000000001,""discountRate"":0.007255365000000001}]",1,,,,,,0,6,17,17,40,20,4,4,,3500,,1049.5,1.2,1,1,1,0,0,0,0,1,,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,,"1,000",500,400,5,1,720,3.97,2,1,5,8,1,40.73080444,-73.99749756,-1,"Sunday, January 27, 2019","Sunday, January 27, 2019",108.30.197.247,0.8875757,0.007255365,0.084941415,0.291447106,0.915058585,0.006654953,0.158606823,2142,ChoiceCC_o2,108.30.197.247,104,104,2142,232.112,1,10.19803903,0,2.365697594,15.23522235,232.112,108.30.197.247,7,0.895246793,0.007417047,0.072314477
R_3n0DCrka2f8alxF,Default Response Set,Anonymous,,,120.28.161.112,0,1/26/2019 18:19,1/26/2019 18:30,1,B,1,"[{},{""id"":0,""beta"":0.8,""discountRate"":0.008,""choice"":1,""answer"":2,""responseTime"":6.938},{""id"":524288,""beta"":1.058589,""discountRate"":0,""choice"":0,""answer"":1,""responseTime"":4.318},{""id"":524289,""beta"":0.8798351,""discountRate"":0.002765065,""choice"":1,""answer"":2,""responseTime"":5.023},{""id"":655361,""beta"":1.42172,""discountRate"":0.008094475,""choice"":1,""answer"":2,""responseTime"":8.1},{""id"":720897,""beta"":1.054489,""discountRate"":0.0028856420000000003,""choice"":0,""answer"":1,""responseTime"":7.818},{""id"":720898,""beta"":0.9542596000000001,""discountRate"":0.0027734829999999998,""choice"":1,""answer"":2,""responseTime"":3.77},{""id"":737282,""beta"":0.9499832,""discountRate"":0.002062593,""choice"":1,""answer"":2,""responseTime"":5.662},{""id"":745474,""beta"":0.9890051,""discountRate"":0.002527052,""choice"":1,""answer"":2,""responseTime"":6.935},{""id"":749570,""beta"":0.9755389,""discountRate"":0.0012875640000000002,""choice"":0,""answer"":1,""responseTime"":3.785},{""id"":749571,""beta"":0.9822664,""discountRate"":0.001837015,""choice"":1,""answer"":2,""responseTime"":2.428},{""id"":750595,""beta"":1.008024,""discountRate"":0.002114382,""choice"":0,""answer"":1,""responseTime"":4.477},{""id"":750596,""beta"":1.011687,""discountRate"":0.002422285,""choice"":1,""answer"":2,""responseTime"":3.106},{""id"":750852,""beta"":1.027059,""discountRate"":0.002599575}]",,,,,1,,0,0,21,23,21,35,7,6,,1049.5,,1799.5,1,1,1,0,0,0,0,0,1,,2,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,,30,500,500,3,1,730,2.8,1,1,5,8,1,14.61669922,121.0499878,-1,"Saturday, January 26, 2019","Saturday, January 26, 2019",120.28.161.112,1.027059,0.002599575,0.040323592,0.200807349,0.959676408,0.000953993,0.73417046,2108,ChoiceCC_o4,120.28.161.112,151,151,2108,146.163,1,12.28820573,0,2.164837448,12.08978908,146.163,120.28.161.112,8,0.975091423,0.001569827,0.583958635
R_31MpjVfF64ZWXt3,Default Response Set,Anonymous,,,128.59.176.43,0,1/21/2019 14:35,1/21/2019 15:01,1,B,1,"[{},{""id"":0,""beta"":0.8,""discountRate"":0.008,""choice"":1,""answer"":2,""responseTime"":8.279},{""id"":524288,""beta"":1.058589,""discountRate"":0,""choice"":0,""answer"":1,""responseTime"":8.457},{""id"":524289,""beta"":0.8798351,""discountRate"":0.002765065,""choice"":1,""answer"":2,""responseTime"":5.203},{""id"":655361,""beta"":1.42172,""discountRate"":0.008094475,""choice"":1,""answer"":2,""responseTime"":13.301},{""id"":720897,""beta"":1.054489,""discountRate"":0.0028856420000000003,""choice"":0,""answer"":1,""responseTime"":5.934},{""id"":720898,""beta"":0.9542596000000001,""discountRate"":0.0027734829999999998,""choice"":1,""answer"":2,""responseTime"":5.52},{""id"":737282,""beta"":0.9499832,""discountRate"":0.002062593,""choice"":1,""answer"":2,""responseTime"":4.988},{""id"":745474,""beta"":0.9890051,""discountRate"":0.002527052,""choice"":1,""answer"":2,""responseTime"":7.065},{""id"":749570,""beta"":0.9755389,""discountRate"":0.0012875640000000002,""choice"":0,""answer"":1,""responseTime"":5.636},{""id"":749571,""beta"":0.9822664,""discountRate"":0.001837015,""choice"":1,""answer"":2,""responseTime"":4.545},{""id"":750595,""beta"":1.008024,""discountRate"":0.002114382,""choice"":0,""answer"":1,""responseTime"":6.373},{""id"":750596,""beta"":1.011687,""discountRate"":0.002422285,""choice"":1,""answer"":2,""responseTime"":9.775},{""id"":750852,""beta"":1.027059,""discountRate"":0.002599575}]",,,,,1,,0,0,29,30,33,8,10,10,,3500,,2249.5,500,1,1,1,1,0,0,0,1,,1,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,,15,500,100,5,1,730,3.61,1,1,5,8,1,40.79750061,-73.96829987,-1,"Monday, January 21, 2019","Monday, January 21, 2019",128.59.176.43,1.027059,0.002599575,0.039097848,0.197731758,0.960902152,0.000995783,0.727984562,1908,ChoiceCC_o3,128.59.176.43,30,30,1908,194.933,1,5.477225575,0,2.289885367,13.96184085,194.933,128.59.176.43,9,0.940545024,0.001219551,0.669058584
R_2wtB7gSHo0RDd7o,Default Response Set,Anonymous,,,151.202.28.142,0,1/26/2019 13:13,1/26/2019 13:23,1,A,1,"[{},{""id"":0,""beta"":0.8,""discountRate"":0.008,""choice"":1,""answer"":2,""responseTime"":7.826},{""id"":524288,""beta"":1.058589,""discountRate"":0,""choice"":0,""answer"":1,""responseTime"":5.958},{""id"":524289,""beta"":0.8798351,""discountRate"":0.002765065,""choice"":0,""answer"":1,""responseTime"":4.113},{""id"":524290,""beta"":0.6133917,""discountRate"":0,""choice"":1,""answer"":2,""responseTime"":4.716},{""id"":589826,""beta"":0.7155638000000001,""discountRate"":0,""choice"":1,""answer"":2,""responseTime"":3.296},{""id"":622594,""beta"":0.8272353,""discountRate"":0.00038732889999999997,""choice"":1,""answer"":2,""responseTime"":5.761},{""id"":638978,""beta"":0.8435034,""discountRate"":0,""choice"":0,""answer"":1,""responseTime"":5.085},{""id"":638979,""beta"":0.8323361,""discountRate"":0.000006457748,""choice"":1,""answer"":2,""responseTime"":6.564},{""id"":643075,""beta"":0.8753183,""discountRate"":0.00038052050000000003,""choice"":1,""answer"":2,""responseTime"":5.357},{""id"":645123,""beta"":0.9047741,""discountRate"":0.0007482935999999999,""choice"":1,""answer"":2,""responseTime"":4.819},{""id"":646147,""beta"":0.9211864999999999,""discountRate"":0,""choice"":1,""answer"":2,""responseTime"":4.65},{""id"":646659,""beta"":0.9526417,""discountRate"":0,""choice"":0,""answer"":1,""responseTime"":3.139},{""id"":646660,""beta"":0.9376336,""discountRate"":0}]",1,,,,,,0,0,16,9,27,48,10,9,2249.5,,599.5,,5,1,1,1,1,1,0,0,1,2,,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,900,,400,300,3,1,690,8.3,2,1,5,8,1,40.77639771,-73.98269653,-1,"Saturday, January 26, 2019","Saturday, January 26, 2019",151.202.28.142,0.9376336,0,0.0363552,0.190670396,0.9636448,0.000769532,0.804717035,2092,ChoiceCC_o2,151.202.28.142,40,40,2092,44.04,1,6.32455532,0,1.64384731,6.636264009,44.04,151.202.28.142,10,0.954575605,0.001115329,0.693514207
